stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,34.62,0,0,0,0,12.59,0,0,0,0
 14-21,0,0,0,7,6,15,0,0,0,2,0,0,0,0,0,0,2,5,21,92,1,1,4,1,1,111,1,408,2091,16,0,0,1
 24-34,0,0,0,2.46,0.82,11.49,41.86,0,0,1.64,0,0.82,0,0.82,0,0.82,0,6.57,17.24,62.39,0,0,0,0,0.82,1.64,0,87.01,620.57,5.75,1.64,0,0
 36-46,0,0,0,0.81,0,0.81,45.12,0,0.81,0,0,0,0,0,0,0,0,3.22,9.67,13.7,0,0,0,0,2.42,0,0,29.81,29.81,1.61,0,0,0
 48-58,0,0,0,0,0.57,1.72,14.92,0.57,0.57,1.15,0.57,0,0.57,0,1.15,0,0,1.72,21.8,12.05,0.57,0,0,0,0,0,0,13.2,0,2.3,0,0,0.57
 60-70,0,0,0,0,0,4.91,23.56,0,0,1.96,0,0,0,0,0.98,0,0,0,15.7,4.91,0,0,0,0.98,0,0,0,5.89,0,1.96,0,0,0
 72-82,0,0,0,0,1.96,0.98,15.71,0,0,0,0.98,0,0.98,0,0,0,0,1.96,10.8,5.89,0,0,0,0,0,0,0,2.94,0,0,0.98,0,0
 84-94,0,0,0,0,1.06,0,19.12,0,1.06,1.06,0,0,0,0,2.12,0,0,3.19,18.05,3.19,0,0,2.12,0,1.06,0,0,4.25,0,1.06,0,1.06,0
 96-106,0,0,0,0,1.09,2.19,16.39,0,0,2.19,0,1.09,0,0,0,0,0,1.09,16.39,6.56,0,0,5.46,1.09,0,0,0,6.56,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0,6.89,0,0,1.53,0,0.77,0,0,0.77,0,0,1.53,18.38,6.13,0,0,2.3,0,0.77,0,0.77,0.77,0,0,0.77,0.77,0
120,0,0,0,0,3.92,0,15.68,0,0,0,0,0,0,0,0,0,0,0,47.03,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,0
