stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,1093.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,104.2,1005.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,6.13,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,23.66,39.43,0,0,81.49,0,0,0,0,18.4,0,0,0,0,0,0,0,636.15,13.14,0,0,254.99,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,37.76,75.53,0,3.15,151.05,0,0,0,0,31.47,0,0,0,0,0,0,0,1000.74,37.76,0,0,358.75,0,0,3.15,0,22.03,0,6.29,0,0,0,0,0
 14-21,0,0,3,20,9,6,0,0,1,2,0,1,0,0,0,0,14,14,95,0,0,0,0,0,0,1,27,27,3,38,18,0,0,0,0
 24-34,0,0,0,9.03,3.28,18.06,1.64,0,1.64,0,0,0,0,0,0.82,0.82,18.06,13.13,183.05,0.82,3.28,0.82,0,0,0,0,0,13.95,1.64,11.49,38.58,0,2.46,0,0
 36-46,0,0,0,0.81,0,18.53,0,0.81,5.64,0,0,0.81,0,0,0,0.81,8.86,3.22,62.04,0,0,0,0,0,0,0.81,0,5.64,0,0,7.25,0,0,0,0.81
 48-58,0,0,0,0.57,0,16.07,0,0,6.89,0,0,1.15,0,0,0,0.57,9.18,1.72,30.41,0.57,2.87,0,0,0,1.15,0,0,4.02,0,0,11.48,0,1.15,0,0
 60-70,0,0,0,0.98,0,29.45,0,0,6.87,0.98,0,2.94,0,0,0,0.98,10.8,0.98,42.21,0,0,0,0,0,0,0,0,7.85,0,0,5.89,0,0.98,0,0.98
 72-82,0,0,0,0,5.89,43.19,0,0.98,9.82,2.94,0,0.98,0.98,0,0.98,0,4.91,6.87,30.43,0,0,0,0,0,0,0,0,8.83,0,0,0,0,1.96,0,1.96
 84-94,0,0,0,1.06,0,29.74,0,0,5.31,2.12,0,1.06,0,1.06,0,3.19,3.19,0,4.25,0,0,0,0,0,0,0,0,6.37,0,0,4.25,1.06,0,0,0
 96-106,0,0,0,0,6.56,17.49,0,1.09,9.84,2.19,0,4.37,0,0,0,0,4.37,0,13.11,0,0,0,0,1.09,1.09,0,0,4.37,0,0,1.09,0,0,1.09,0
108-118,0,0,0,0,3.83,16.09,0,0,1.53,0.77,0,2.3,0,0,0.77,0,2.3,0.77,5.36,0,0,0,0,0,0,0,0,3.06,0,0,0,0,0,0,0.77
120,0,0,0,0,0,15.68,0,0,5.88,1.96,0,0,0,0,0,0,1.96,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
