stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,7,1,1,0,2,0,0,0,6,0,0,0,0,0
 24-34,0,0.82,0,301.25,0,0,0,0,0.82,0,0,0.82,0,0,0,2.46,0,0,0.82,144.47,0,2.46,4.1,0,0.82,0,0,0,0.82,13.95,0,0,0.82,0,0
 36-46,0,3.22,0,1276.99,0,0.81,3.22,0,0,0,1.61,0,0,0.81,0,3.22,0,0,0.81,310.99,0.81,6.45,1.61,0,0,0,0,0,0,19.34,0,0,0.81,0,0
 48-58,0,4.02,0,1204.42,0.57,0.57,10.9,0,0,0.57,0,1.15,1.15,0.57,0.57,10.9,0,2.87,2.3,328.79,1.15,0.57,2.87,0,0.57,0,0.57,0.57,0,25.25,0,0,1.72,0,1.72
 60-70,0,1.96,0,671.36,0,0.98,5.89,0,0,0,0,0,0.98,0,0,2.94,0,0,0,157.04,0,0.98,0,0,0,0,0,0,0,3.93,0,0,0,0,1.96
 72-82,0,2.94,0.98,230.69,0,0.98,3.93,0.98,0,0,0,0,0,0,0,6.87,0.98,0,0,74.61,0,2.94,1.96,0,0,0,0,0,0,0.98,0,0,0,0,0
 84-94,0,3.19,0,187.98,0,1.06,7.43,1.06,0,1.06,1.06,0,1.06,0,0,2.12,0,0,0,65.85,0,1.06,1.06,0,1.06,0,1.06,0,0,2.12,1.06,0,0,1.06,1.06
 96-106,0,2.19,0,133.33,1.09,0,0,0,0,0,0,0,0,1.09,0,3.28,0,1.09,0,51.36,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,121.79,0,0,1.53,0,0,0,0,0,0,1.53,0,3.83,0,0.77,0,55.92,0,0.77,0.77,0,0.77,0,0,0,0,0,0,0.77,0,0,0
120,0,5.88,1.96,158.74,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0,56.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
