stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,579.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,680.39,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,12.26,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.66,10.51,0,55.2,0,2.63,57.83,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,512.6,39.43,0,0,207.67,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,0,44.06,0,3.15,75.53,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,616.81,37.76,0,0,207.7,0,3.15,3.15,22.03,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,17,1,5,0,0,4,2,0,0,0,0,1,0,0,0,8,0,0,9,116,3,0,2,1,0,0,15,0,0,13,38,0,0,2,0,0
 24-34,0,0.82,0,0,3.28,1.64,13.95,1.64,0,2.46,0.82,0,0,0,0.82,0,0,0,0,9.85,0,0,6.57,159.25,0.82,3.28,0,0,4.1,0,0,0,0.82,6.57,41.04,0,0,3.28,0,0.82
 36-46,0,0,0,0,1.61,0.81,16.92,0,0,5.64,0,0,0.81,0,0,0,0,0,0,20.14,0,0,3.22,142.6,0.81,1.61,0.81,0,1.61,0,0,0,0,0,31.42,0,0,3.22,0,0
 48-58,0,0,1.15,0,1.15,0,33.85,0,0,6.31,0.57,0,0.57,0,0,0,0.57,0,0,24.1,0,0.57,4.59,84.92,0,1.15,0.57,0,0,0,0,0.57,0,0,18.36,0,0,1.15,0,0
 60-70,0,0,0,0,3.93,0.98,46.13,0,0,11.78,0.98,0,0,0.98,0,0,0,0,0.98,27.48,0.98,0,7.85,77.54,1.96,0,0,0,1.96,0,0,0,0,0,14.72,0,0.98,0,0.98,0
 72-82,0,0,0.98,0.98,0.98,0,35.34,0,2.94,14.72,0.98,0,1.96,0,0,0.98,0,0,0,39.27,0,0.98,2.94,51.05,0,2.94,0,0,0.98,0,0,0,0,0,5.89,0,0,0.98,0,0.98
 84-94,0,0,1.06,0,4.25,3.19,25.49,1.06,0,7.43,1.06,0,0,1.06,1.06,1.06,1.06,1.06,0,19.12,0,0,4.25,37.17,0,0,1.06,0,5.31,0,0,1.06,0,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,0,4.37,0,14.21,1.09,0,4.37,1.09,0,0,0,1.09,0,0,0,0,8.74,0,0,1.09,29.51,0,1.09,5.46,0,2.19,0,0,0,0,0,1.09,2.19,0,2.19,1.09,0
108-118,0,0,0,0,2.3,0,9.19,0,2.3,6.89,0.77,0,0.77,2.3,0,0,0.77,0,0,10.72,0.77,0,0.77,28.34,0,0,0.77,0,5.36,0,0,0,0,0,1.53,0,0,0.77,0,0.77
120,0,0,0,0,9.8,0,11.76,0,0,5.88,1.96,0,0,0,0,0,0,1.96,0,13.72,0,0,0,39.2,3.92,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0
