stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,2,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,8,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,0.82,0,0,0,0,0,0,0,0,65.67,0,0.82,0,0,0,0,45.15,0,0,0,0,0
 36-46,0,0,0,3.22,0,0,2.42,0,0,0,0,0,0.81,0,0.81,145.83,0,0.81,0,0,0,0,47.53,0,0,0,0,0
 48-58,0,0,0,8.03,0,0,1.72,0,0,0,0,0.57,0.57,0,0.57,207.14,0,1.72,0,0,0,0.57,40.17,0,0,0.57,0,0
 60-70,0,0,0,60.85,0,0,3.93,0,0,0,0,0,1.96,0.98,0,431.87,0.98,3.93,0,0,0,0,37.3,0,0,0,0,0
 72-82,0,2.94,0,116.82,0,0,15.71,0.98,0,0,1.96,0,12.76,0,1.96,626.3,0,7.85,0,0,0,0,49.08,0,0,0.98,0,0.98
 84-94,0,4.25,1.06,96.65,1.06,1.06,13.81,1.06,2.12,1.06,0,0,5.31,0,4.25,349.41,0,5.31,0,0,0,0,39.3,0,0,0,1.06,0
 96-106,0,3.28,1.09,116.93,0,0,12.02,1.09,0,0,0,0,10.93,0,1.09,351.9,0,5.46,0,0,0,0,14.21,0,0,0,0,0
108-118,0,6.89,0,126.38,0,0.77,9.19,0.77,0,0,0,0,3.83,0,0,418.22,0.77,4.6,0.77,0,0,0,12.26,0.77,0.77,0.77,1.53,0.77
120,0,11.76,0,137.18,0,0,21.56,0,1.96,0,0,0,5.88,0,0,633.01,0,7.84,0,0,0,0,19.6,0,0,1.96,0,0
