stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,2,1,4,7,0,0,1,0,0
 24-34,0,0,2.46,1.64,0.82,1.64,0,0,0,1.64,1.64,0,0,0.82,0,0,0,0,0,5.75,0,0,2.46,27.91,0,0,0.82,0,0.82,1.64,0,2.46,8.21,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,5.64,0,0,0,3.22,0.81,0,0,3.22,0,0,0,0,0,7.25,0,0,0.81,22.56,0,0,0,0,0,1.61,0,0,5.64,0,0,1.61,0,0
 48-58,0,0,0,0.57,0,5.74,0,0,0,3.44,0,0,0,4.59,0,0,0.57,0,0,8.03,0,0.57,1.72,19.51,0,0,0.57,0,0,0,0,0,3.44,0,0,0,0,0
 60-70,0,0,0,2.94,0.98,7.85,0,1.96,0,3.93,1.96,0,0,6.87,0,0,0,0,0,7.85,0,0.98,0,11.78,0.98,1.96,0,0,0.98,0,0,0,0,0,0,2.94,0,0
 72-82,0,0.98,0,1.96,0,2.94,0,0,0,3.93,4.91,0,0,16.69,0,0.98,0.98,0,0.98,14.72,0,0,0.98,3.93,0,0,0.98,0,0.98,0,0,0,0,0,0.98,2.94,1.96,0
 84-94,0,0,1.06,7.43,3.19,1.06,0,1.06,0,0,13.81,0,1.06,38.23,0,0,0,0,0,7.43,0,0,1.06,8.5,0,0,3.19,0,3.19,0,0,0,1.06,0,0,6.37,0,0
 96-106,0,0,0,8.74,3.28,8.74,1.09,0,1.09,5.46,14.21,0,0,43.71,1.09,1.09,1.09,0,0,10.93,1.09,2.19,1.09,8.74,0,0,2.19,0,6.56,0,0,0,0,0,0,14.21,1.09,0
108-118,0,0,0,8.43,2.3,0.77,0,0,0,0.77,17.62,0,0,36.77,4.6,0.77,1.53,0.77,0,5.36,0,0,3.06,13.02,0,1.53,0.77,0,8.43,0,0,0,0,0.77,0,13.79,1.53,0.77
120,0,0,0,7.84,1.96,3.92,0,0,0,0,7.84,0,0,27.44,0,0,0,0,0,3.92,0,1.96,0,5.88,0,0,0,0,15.68,0,0,0,0,0,0,15.68,0,0
