stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,7,9,0,0,0,1,1,0,31,3,0,0,0,0
 24-34,0.82,0.82,2.46,0.82,0,0,0,0.82,0.82,0,0,0,0,70.59,0,52.53,55,0,0,0,0,0,0,1.64,20.52,0,0,0,0
 36-46,0,0,1.61,1.61,0,0,0,0.81,3.22,0,0,0.81,0,102.32,0,67.68,41.89,0.81,0,0.81,0,0,0,0,14.5,0,0,0.81,0
 48-58,0,0,0,2.3,0,0.57,5.16,0,0.57,0,0,0,0,125.66,0.57,39.59,43.04,0.57,0,1.72,0.57,0,0,0,8.61,0,0,1.15,0
 60-70,0,0,0,5.89,0,0,9.82,0.98,0,0,0,0,0,74.6,0.98,14.72,53,0.98,0,1.96,0,0,0,0,13.74,0,0.98,0.98,0
 72-82,0,0,0,8.83,0.98,0,25.52,6.87,0,0,0,0,0,108.96,0.98,18.65,92.28,0.98,0,0,0,0,0,0,9.82,0.98,1.96,0.98,0
 84-94,2.12,1.06,0,9.56,0,0,16.99,2.12,0,0,0,0,1.06,65.85,0,7.43,53.1,1.06,0,0,0,0,0,0,5.31,1.06,1.06,0,1.06
 96-106,0,0,0,7.65,0,0,6.56,7.65,0,0,0,0,0,74.31,3.28,7.65,69.94,0,0,1.09,0,0,0,0,2.19,2.19,0,0,0
108-118,1.53,0.77,0,7.66,0,0,9.96,9.19,0,0,0.77,0,0,51.32,0.77,5.36,67.4,2.3,0,0.77,0.77,0,0.77,0,3.06,3.06,0,0,0
120,0,1.96,0,1.96,0,0,3.92,5.88,0,3.92,0,0,0,43.12,1.96,0,70.55,1.96,0,0,0,0,0,0,3.92,3.92,0,0,0
