stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,1,0,10,3,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,13.13,0,0,6.57,0,0,0,0,36.94,4.1,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,0.81,0,12.09,0,0.81,0,0,27.39,3.22,0,0,0
 48-58,0,0,0,0,0,2.3,0.57,0,2.3,0,0,0.57,0,0,2.87,1.72,0,8.61,0,0,0,1.15,19.51,3.44,0,0,0
 60-70,0,0,0,0,0,5.89,0,0.98,3.93,0,0,0,0.98,0,7.85,3.93,0,5.89,0,0,0,0,30.43,7.85,0,0,0
 72-82,0,0.98,0,0,32.39,2.94,0,0,1.96,0,0,0,0,0,12.76,2.94,0.98,14.72,0,0,0,0,57.92,0.98,0.98,0,0
 84-94,0,0,0,0,54.16,1.06,0,0,0,0,0,0,0,0,39.3,1.06,1.06,11.68,1.06,1.06,0,1.06,112.58,1.06,0,1.06,0
 96-106,0,0,2.19,1.09,155.18,5.46,0,0,5.46,0,1.09,0,1.09,1.09,64.48,4.37,0,17.49,0,0,0,1.09,111.47,0,0,0,1.09
108-118,0,0,2.3,0.77,284.94,8.43,0,0.77,0,0.77,0,0,0.77,0.77,129.45,7.66,0,9.96,0.77,0,0,2.3,113.36,0.77,0.77,0.77,0
120,0,0,0,0,115.63,0,0,0,0,1.96,0,3.92,0,0,84.27,1.96,0,17.64,0,0,0,1.96,64.67,0,0,0,0
