stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,20,2,11,0,0,1,0,2,1,0,0,0,1,0,12,0,0,10,178,3,0,1,5,0,23,0,0,18,68,0,0,3,0
 24-34,0,0,0,0.82,4.93,0,16.42,0,0.82,5.75,0.82,0,0,0.82,0.82,0,0.82,0.82,9.03,0,0,4.93,141.19,0,0,0.82,0,2.46,0,0,0,1.64,37.76,0,0,3.28,0
 36-46,0,0,0,0,2.42,0,36.26,0,0,4.83,0,0,0,0,0,0.81,0,0,16.11,0,0.81,1.61,153.08,0.81,2.42,1.61,0,0.81,0,0,0,0,39.48,0,0,2.42,0
 48-58,0,0,0,0,2.87,0,35.58,0,2.3,14.92,0.57,0,1.15,0,0,0.57,0,0.57,21.23,0,1.15,3.44,122.22,1.15,1.15,0.57,0,0.57,0,0,0,0,33.28,0,0.57,2.3,1.72
 60-70,0,0,0,0,1.96,0,32.39,0,0.98,15.7,0,0,0,0,0,0,1.96,0,19.63,0,0.98,0,88.34,0.98,0,0,0,2.94,0,0,0,0,13.74,0,0,0,0
 72-82,0,0,0,0,2.94,0,33.38,0,1.96,10.8,0,0,0,0,0.98,0,0,0,40.25,0,0.98,2.94,82.46,0,0,0.98,0,0,0,0,0,0,11.78,0.98,0.98,3.93,0.98
 84-94,0,0,0,0,2.12,0,15.93,1.06,0,10.62,0,0,0,0,1.06,0,0,0,12.74,0,0,6.37,38.23,0,1.06,0,0,1.06,0,0,0,0,2.12,1.06,0,2.12,0
 96-106,0,0,1.09,0,1.09,0,12.02,2.19,0,6.56,1.09,0,0,0,0,0,0,1.09,18.58,1.09,1.09,0,25.14,0,1.09,1.09,0,1.09,0,0,0,0,2.19,0,1.09,1.09,0
108-118,0,0,0,0,2.3,0,9.96,0.77,0.77,9.96,0,0,0,0.77,0.77,1.53,0.77,0,14.55,0,0.77,3.06,37.53,0.77,2.3,0.77,0,3.06,0,1.53,0.77,0,1.53,0,0.77,0.77,0
120,1.96,0,0,0,3.92,0,11.76,0,0,5.88,1.96,0,0,0,0,1.96,0,0,9.8,0,1.96,3.92,33.32,1.96,0,0,0,5.88,0,0,0,0,0,0,0,5.88,0
