stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,iridophores,liver,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,250.38,1739.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0
  5-6,55.17,625.22,6.13,0,0,0,0,0,6.13,0,0,0,0,85.81,0,0,12.26,0,0,0,0,0,0,0
  7-9,10.51,0,7.89,0,5.26,0,0,0,13.14,0,0,0,0,60.46,2.63,0,18.4,2.63,55.2,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0,34.62,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,10,1,0,0,0,10,2,2,1,0,0
 24-34,0,0,0,0.82,0.82,0,0.82,0,0,0,0,0.82,0,0.82,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,3.22,0,0,0,0,3.22,0,0,0,0.81,0
 48-58,0,0,0,0,0.57,0,0,1.15,0,0,0,0,0.57,0.57,0,0,0,0,0.57,0,0,0.57,0,0
 60-70,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,0,0,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,1.06,0,0,0,1.06,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,0,0,0,0,0,0,0,1.09,0,1.09,0,0,2.19,0,0,0,0,1.09
108-118,0,0,0.77,0.77,0.77,0.77,0,0,0,0.77,0.77,0,0,1.53,0,0,0,0,2.3,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,1.96,0
