stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,3,14,0,0,0,0,0,0,0,1,4,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,9.85,0,0,4.93,51.71,0,0,0,0,0,0,0,0,13.95,0,0,0,0
 36-46,0,0,0,0,12.89,0,3.22,0,0,0,0,0,0,0,8.06,0,0,3.22,85.4,0,0,0,0,0,0,0,0,4.83,0,0,0,0
 48-58,0,0.57,0,1.15,74.59,0.57,8.61,0,0,0,0,0.57,1.15,0,6.89,0,0,1.72,156.07,0,0,0,0,0,0.57,0.57,0,14.92,0,0,0,0
 60-70,0,0,0,0,149.19,0,14.72,0,0,0.98,0,0,0.98,0,11.78,0.98,0,0.98,206.12,0.98,0,0,0,0.98,0,0,0,7.85,0,0,0.98,0.98
 72-82,0,0.98,0,1.96,163.94,0.98,37.3,0,0,0,0,0,0,0,8.83,0,0.98,0,213.02,0,0,0,0,0,0,0,0,11.78,0.98,0,2.94,0
 84-94,0,1.06,0,3.19,81.78,1.06,21.24,0,0,1.06,0,0,0,1.06,7.43,0,0,1.06,123.2,0,0,0,0,1.06,0,0,0,4.25,0,1.06,0,0
 96-106,0,0,0,2.19,103.82,1.09,14.21,0,0,2.19,0,0,1.09,0,6.56,0,4.37,2.19,97.26,0,0,0,0,0,0,0,0,5.46,0,0,2.19,0
108-118,0,0,0,0.77,78.89,0,22.21,0.77,0,2.3,0,0,0,0,4.6,0,1.53,1.53,105.7,0,0,0.77,0,0,0.77,0,0,0.77,0.77,0,0.77,0
120,0,0,0,1.96,88.19,1.96,9.8,0,0,1.96,0,0,0,0,1.96,0,0,0,143.06,0,3.92,0,0,0,0,0,0,3.92,0,0,0,0
