stage,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,periderm,spinal.cord
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,1,0,1,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0.82,0.82,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,2.42,0,1.61,0
 48-58,0,0,0.57,0,0,0,0,1.15,0,0,4.02,0,1.15,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0
 72-82,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0.98,0.98
 84-94,0,0,0,0,0,0,0,1.06,0,1.06,1.06,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,1.09,0,0,0,8.74,0
108-118,0,0.77,0,0,0.77,0.77,0,0,0,0,0,0.77,6.13,0
120,0,1.96,0,1.96,0,0,0,0,0,0,0,0,3.92,0
