stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,9.18,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0.98,3.93,1.96,0,0.98,0,0,0,0,0,0,0,0,0,9.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,6.87,0,0,9.82,0,0,0,2.94,43.19,1.96,0,0.98,0,0,0,0,0,12.76,0,0,0,24.54,0,0,0,0.98,0,0,0,0,2.94,0,0,1.96,0,0
 84-94,0,10.62,0,0,8.5,0,0,1.06,6.37,109.39,0,0,0,1.06,0,0,1.06,0,4.25,1.06,1.06,0,6.37,0,0,0,4.25,1.06,0,0,0,1.06,6.37,0,1.06,0,1.06
 96-106,1.09,48.09,19.67,2.19,78.68,1.09,7.65,2.19,18.58,228.4,0,0,6.56,4.37,5.46,4.37,5.46,1.09,65.57,6.56,1.09,10.93,110.38,1.09,3.28,6.56,42.62,0,0,0,1.09,2.19,16.39,4.37,9.84,2.19,3.28
108-118,0.77,38.3,6.89,3.06,45.19,0,5.36,2.3,18.38,277.28,0,2.3,5.36,1.53,1.53,0.77,4.6,2.3,46.72,3.83,1.53,7.66,122.55,0.77,4.6,0.77,17.62,0,0,0.77,0,3.06,40.6,0.77,6.13,1.53,3.06
120,0,33.32,0,1.96,23.52,0,1.96,0,5.88,146.98,0,1.96,5.88,3.92,3.92,1.96,3.92,1.96,31.36,9.8,0,3.92,80.35,0,5.88,0,19.6,0,0,1.96,0,5.88,7.84,3.92,13.72,3.92,3.92
