stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387.08,15.73,0,0,44.06,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,466,0,0,0,0,6,0,1,1,1,1,0,0,0,0,0,0,2,0,0,15,4,24,0,0,1,0,2,2,84,33,106,0,0,0,0,0
 24-34,0,0.82,280.73,0,0,2.46,4.93,60.74,0.82,2.46,0.82,0,12.31,0.82,0.82,0,0.82,0.82,0.82,86.19,2.46,0,164.17,73.06,86.19,0,0,0,0,3.28,0.82,140.37,27.91,75.52,0,0,2.46,0,0.82
 36-46,0,0,38.67,0.81,0,3.22,11.28,41.09,2.42,5.64,0,0,12.09,0,0,0,0,0,12.09,215.11,1.61,6.45,83.79,123.27,91.85,0.81,0,0,0,0,0,87.01,1.61,37.87,0,0,1.61,0.81,0
 48-58,0,0,22.95,0,0,14.92,19.51,42.46,3.44,9.18,0,0,4.59,0,0,0,0,0,11.48,194.52,0.57,11.48,73.45,144.6,60.25,0,0,0,0.57,0.57,0,52.22,0,30.99,0,2.3,2.3,0.57,0
 60-70,0,0,11.78,0.98,0,13.74,30.43,37.3,0,19.63,0.98,0,3.93,0,0,0,0,0,5.89,234.58,0.98,19.63,41.22,237.53,48.09,0,0,0.98,2.94,0.98,0,37.3,0,17.67,0,16.69,1.96,17.67,0
 72-82,0,0,16.69,3.93,0,38.28,46.14,19.63,1.96,67.73,0,0,3.93,0,0,1.96,0,0,10.8,335.73,0,27.49,49.08,214.98,54.97,0,3.93,0.98,7.85,1.96,0,22.58,0,20.61,0.98,40.25,5.89,55.95,1.96
 84-94,0,0,14.87,4.25,1.06,33.99,67.97,43.54,1.06,55.23,0,0,3.19,0,1.06,0,2.12,0,22.3,260.2,1.06,38.23,41.42,141.25,84.96,0,2.12,0,1.06,1.06,0,40.36,0,16.99,0,41.42,2.12,56.29,0
 96-106,0,0,15.3,4.37,0,18.58,99.45,37.16,2.19,107.1,0,0,3.28,1.09,0,1.09,0,2.19,13.11,227.31,0,16.39,32.79,145.35,79.78,0,2.19,0,9.84,2.19,0,33.88,0,20.76,0,39.34,7.65,78.68,0
108-118,0.77,0,6.89,0,0,19.15,83.49,50.55,0.77,73.53,1.53,0,0.77,1.53,0,0.77,0,0,28.34,177.7,0,19.92,29.87,136.34,91.92,0,0.77,0,3.83,3.06,0,26.81,0,9.96,1.53,42.89,3.83,42.13,0.77
120,0,0,15.68,1.96,0,21.56,39.2,37.24,0,68.59,1.96,0,0,1.96,0,0,0,0,15.68,146.98,1.96,11.76,21.56,184.22,123.47,0,0,0,9.8,0,0,11.76,0,7.84,0,25.48,1.96,50.95,0
