stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,mesenchyme,mural_cell,neural,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,289.91,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,85.81,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,10.51,5.26,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,9.44,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,1,0,0,0,0,0,2,0,1,1,1,0,0
 24-34,0,0,0,0,0.82,0,0.82,3.28,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,4.03,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.98
 72-82,0,0,1.96,0,0,1.96,0,0.98,0,0,0,0,0,0,0,0,0,0
 96-106,0,1.09,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0.77,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0
