stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,1027.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0
  5-6,165.5,331,0,6.13,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,18.39,18.39,0,0,0,0,36.78,0,0,0,0,0,0,0,0
  7-9,105.15,0,0,176.12,0,0,0,0,0,0,0,0,0,70.98,0,0,0,0,0,0,0,0,0,0,0,110.41,42.06,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,75.53,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,24,234,5,0,1,0,0,0,0,13,0,0,0,2,0,0,0,0,5,2,0,2,8,0,0,0,0,0,109,0,0,2,3,0,0,0,0
 24-34,0,0,0,0,50.89,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,4.93,1.64,0,0,2.46,0,0,0,0,0,2.46,0,0,0.82,1.64,0,0,0,0
 36-46,0,0,0,0,24.98,0,0,2.42,0,0.81,0,0,0,0,0,0,0,0,0,2.42,0,2.42,0,0,0,2.42,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,48.2,0,0,5.74,0,0.57,0,0.57,1.15,5.16,0,0,0.57,0,0,1.15,0,5.74,0,0,0,6.31,0,0,0,0,0,6.89,0,0.57,0,1.15,0,0,0.57,0
 60-70,0,0,0,0,47.11,0,0,28.46,0.98,2.94,0,0,1.96,0.98,0.98,0,0,0,0,3.93,0,15.7,0,0.98,0,4.91,1.96,0,0,0,0,0.98,2.94,1.96,0,0.98,0.98,1.96,0,0
 72-82,0,0,0.98,0,32.39,0,0,60.86,0,1.96,2.94,0.98,0,1.96,0.98,0,0,0.98,0,23.56,0,28.47,0.98,3.93,0.98,12.76,0,0,1.96,0,0,0,1.96,0,0,3.93,0.98,8.83,2.94,0.98
 84-94,0,0,1.06,0,141.25,0,0,98.77,0,18.05,0,0,16.99,3.19,2.12,0,0,4.25,0,194.35,0,23.36,1.06,0,0,18.05,4.25,0,1.06,0,0,3.19,10.62,0,0,0,0,4.25,1.06,0
 96-106,0,0,0,0,118.03,4.37,0,115.84,5.46,10.93,4.37,4.37,7.65,0,2.19,1.09,0,5.46,0,208.73,0,45.9,1.09,3.28,4.37,45.9,1.09,2.19,0,0,4.37,5.46,1.09,0,0,3.28,0,7.65,1.09,1.09
108-118,0,0,0.77,0.77,84.26,1.53,0.77,113.36,5.36,7.66,0.77,6.13,27.57,0,0.77,1.53,0,13.02,0.77,664.86,1.53,38.3,0.77,1.53,4.6,43.66,2.3,0,0,0,0.77,3.83,2.3,0.77,0,0.77,0,11.49,0,0.77
120,0,0,0,0,50.95,0,1.96,45.08,11.76,7.84,0,0,21.56,0,0,0,0,1.96,0,162.66,0,23.52,0,7.84,0,33.32,5.88,5.88,0,0,0,1.96,1.96,0,0,0,0,5.88,0,1.96
