stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,1,28,0,0,0,0,0,0,1,2,0,1,0,9,0,2,0,0
 24-34,0,0,0,0,1.64,0,4.1,0,0,0.82,0,0,0.82,0,0.82,0,0,1.64,0,4.1,0,0,0,48.43,0,0,0,0,0,4.1,0,0,0,0.82,1.64,17.24,0,4.1,0,0
 36-46,0,0,0,0,0,0,4.83,0,0,0,0.81,0,0,0,0.81,0,0,0.81,0,1.61,0,0,1.61,20.14,0,0,0,0,0,7.25,0,0,0,0,0,5.64,0,2.42,0,0
 48-58,0,0,0,0,1.15,0,6.31,0,0,0,0,0.57,0,0.57,1.15,0,0,1.15,0,3.44,0,0,1.15,10.33,0,0,0,0,0,8.61,0,0,0,0,0,0.57,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0.98,0,0,0.98,0,1.96,0,0,0,1.96,0,0,0.98,0,0,4.91,0,0,0,0,0,0,0,0.98,0,3.93
 72-82,0,0,0,0,0.98,8.83,0.98,0,0,0,2.94,1.96,0,0.98,1.96,0,0,0,1.96,5.89,0,0.98,0,9.82,0,0,0,0,0,26.5,0,0,0,0,0,1.96,0,4.91,0,2.94
 84-94,0,0,2.12,0,4.25,2.12,2.12,0,0,0,2.12,5.31,0,0,9.56,1.06,0,0,1.06,6.37,1.06,1.06,0,7.43,0,0,0,0,0,41.42,0,0,0,0,0,0,0,2.12,0,0
 96-106,0,0,0,0,10.93,6.56,5.46,1.09,2.19,0,3.28,9.84,0,0,13.11,3.28,0,2.19,0,6.56,0,1.09,1.09,7.65,0,0,0,0,1.09,67.76,0,0,0,0,0,0,0,3.28,1.09,6.56
108-118,0,0,0,0,8.43,3.06,0,0,1.53,0,1.53,9.19,0,0,7.66,1.53,3.06,3.06,1.53,4.6,0,0.77,0,9.19,0,0.77,0.77,0,0,46.72,0,0,0,0,0,1.53,0,3.06,0,3.06
120,0,0,0,0,11.76,3.92,0,0,3.92,0,0,7.84,0,1.96,9.8,1.96,1.96,3.92,0,5.88,3.92,0,0,9.8,1.96,0,0,0,0,64.67,0,0,0,0,0,0,1.96,5.88,0,0
