stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,heart,ionocyte,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,5.26,0,0,0,0,2.63,0,0,0,0,5.26,15.77,115.66,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,0,0,0,0,0,0,0,40.91,44.06,217.14,0,0,0,6.29,0,3.15,0
 14-21,0,0,3,1,1,0,0,0,0,0,1,8,5,0,0,0,0,24,0,2,196,2
 24-34,0,0,0.82,0,0.82,0,0,0,0.82,0.82,4.1,8.21,2.46,0,0,0,0,0,0,0.82,6.57,0
 36-46,0,0,0,0,0,0,0,0,0,0,3.22,0.81,0.81,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,1.72,1.15,1.72,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,3.93,0,3.93,0,0,0,0,0,0,0,0,1.96
 72-82,0,0,0,0,2.94,0.98,0,0,0,0,2.94,1.96,4.91,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,1.06,0,0,0,0,0,3.19,1.06,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,3.28,2.19,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
