stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,14,193,30,0,97,0,0,0,38,7,5,1,0,4,0,0,1,2,83,0,0,58,1165,31,6,10,34,0,17,2,149,10,3,93,356,0,3,0,0
 24-34,0.82,3.28,55,47.61,0,508.11,0,3.28,0,41.86,0.82,0,3.28,8.21,2.46,3.28,2.46,3.28,0,241.33,0.82,2.46,77.16,2435.48,5.75,14.78,22.16,0,0,51.71,0,0.82,0.82,0,16.42,491.69,0,29.55,0,7.39
 36-46,0,0,37.06,16.92,0,1025.62,0,0,0.81,44.31,0.81,0,1.61,3.22,0.81,3.22,0.81,4.03,0.81,206.25,0,7.25,62.84,1674.18,6.45,9.67,12.09,0,0,24.98,0,1.61,1.61,0,0,356.11,0,18.53,0,1.61
 48-58,0,0.57,28.69,8.61,0,1059.82,0,1.15,2.87,43.61,2.87,0,1.72,5.16,1.72,3.44,2.87,0.57,0.57,198.54,0.57,5.16,39.02,721.85,2.87,2.3,7.46,0,0,6.31,0,0,0,0,0,125.09,0,11.48,0,1.72
 60-70,0,0,49.08,2.94,0,733.2,0,0.98,0,56.93,12.76,0,0,5.89,0.98,3.93,4.91,3.93,0,167.84,0,12.76,28.46,426.96,4.91,3.93,5.89,0,0,7.85,0,0,0,0,0,30.43,0.98,11.78,0,0
 72-82,0,0,24.54,8.83,0,234.62,0.98,0.98,0.98,59.88,3.93,0,2.94,2.94,2.94,0.98,1.96,0.98,0,125.65,0.98,3.93,15.71,227.75,0.98,2.94,1.96,0,0,0.98,0,0,0.98,0,0,7.85,2.94,6.87,0,0.98
 84-94,0,0,35.05,14.87,2.12,201.79,0,1.06,1.06,30.8,19.12,0,0,11.68,4.25,1.06,5.31,0,0,124.26,0,11.68,21.24,187.98,2.12,3.19,5.31,0,0,7.43,0,0,0,0,0,4.25,5.31,18.05,0,1.06
 96-106,0,0,13.11,10.93,1.09,119.12,0,0,0,28.41,5.46,0,2.19,6.56,3.28,1.09,3.28,0,0,65.57,0,1.09,14.21,127.86,1.09,4.37,5.46,0,0,3.28,0,0,1.09,0,0,2.19,1.09,5.46,1.09,0
108-118,0,0,13.02,15.32,0.77,103.41,0.77,0.77,0.77,19.92,5.36,0,0,9.19,1.53,2.3,1.53,3.06,0,21.45,0,3.83,10.72,155.49,1.53,1.53,3.83,0,0,3.06,0,0,1.53,0,0,3.06,4.6,7.66,0.77,0
120,0,0,29.4,43.12,0,186.18,0,0,0,35.28,5.88,0,1.96,7.84,5.88,1.96,1.96,0,0,45.08,0,1.96,15.68,254.77,3.92,3.92,5.88,0,1.96,0,0,0,0,0,0,0,0,11.76,0,0
