stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,mesenchyme,neural,notochord,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,11.49,0,0,0,1.64,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,11.28,0,0,0,4.83,0,0,0
 48-58,0,0.57,0.57,0,0.57,0,0,0.57,5.16,0,0,0,2.3,0,0,0
 60-70,0,1.96,2.94,0,0.98,0,0,0.98,7.85,0,0,0,4.91,0.98,0,0
 72-82,0,2.94,2.94,0,0.98,0,0,0.98,10.8,0,0,0,1.96,6.87,0,0
 84-94,0,7.43,0,1.06,1.06,1.06,0,1.06,8.5,0,1.06,0,0,49.92,0,2.12
 96-106,0,3.28,3.28,0,0,0,1.09,2.19,5.46,0,0,0,1.09,87.43,0,0
108-118,0.77,3.83,3.06,0.77,0.77,0,0,3.83,7.66,0.77,0,0,1.53,71.23,0,0
120,0,5.88,1.96,0,0,1.96,0,3.92,13.72,0,0,0,0,25.48,1.96,0
