stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,0,16,0,5,3,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0.82,0,0,1.64,0,0,1.64,0,0.82,0.82,0,0,10.67,0.82,0.82,0,111.64,0.82,1.64,0,1.64,0,0,0,0
 36-46,0,0.81,0.81,0,0.81,0,1.61,0,0,0,0,0,0,4.83,0,0,0,0.81,0,0,0.81,16.92,3.22,0,0,150.66,0,0.81,0,0.81,0,0,0,0
 48-58,0,0,0.57,0,4.59,0.57,1.15,0,1.15,0,0,0.57,0,6.89,0,0,0,1.72,0.57,0,0.57,13.2,0.57,0,0,88.94,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,3.93,0,0,0,0,0,0,0,0,13.74,0,0.98,0,3.93,0,0,0,7.85,0.98,0,0,82.45,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,3.93,0,0,0,2.94,1.96,0,0,0.98,15.71,0.98,0,0.98,8.83,0.98,0,0.98,8.83,0.98,0,0,69.7,0,1.96,0,0.98,0,0,0,0.98
 84-94,0,0,2.12,1.06,9.56,0,0,0,0,0,0,0,0,44.61,0,1.06,0,13.81,1.06,0,2.12,4.25,1.06,0,0,232.59,0,1.06,0,0,0,0,0,1.06
 96-106,0,1.09,0,1.09,10.93,2.19,0,1.09,2.19,12.02,0,1.09,0,38.25,0,79.78,0,10.93,2.19,1.09,1.09,19.67,2.19,2.19,0,110.38,1.09,2.19,0,1.09,1.09,1.09,1.09,1.09
108-118,0,0,3.06,0,11.49,0.77,0,0,2.3,78.89,0,0,2.3,68.17,0,299.49,0,18.38,1.53,0,2.3,16.85,3.06,0.77,0,59.75,0.77,0,0,1.53,0,1.53,0,1.53
120,0,0,0,3.92,3.92,3.92,7.84,0,1.96,117.59,0,0,1.96,29.4,0,244.97,0,17.64,0,0,0,25.48,0,1.96,0,47.03,1.96,3.92,0,0,0,0,1.96,1.96
