stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,658.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,876.54,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,23.66,0,60.46,0,0,107.78,0,0,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0,864.85,26.29,0,0,433.74,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,47.2,0,6.29,122.73,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,922.06,18.88,0,0,437.43,0,15.73,0,0,31.47,0,0,0,0,0,0,0
 14-21,0,0,3,2,34,8,12,0,0,4,1,4,2,0,1,0,0,1,0,19,0,0,8,171,9,2,0,2,0,16,0,30,3,1,38,51,0,3,0,0
 24-34,0,0,0.82,0,9.85,3.28,50.07,0,0,5.75,0,0.82,0,0,0.82,0,0,0,0,24.63,0,0,6.57,444.9,4.93,9.85,3.28,0,0,18.88,0,0,1.64,0,3.28,80.44,0,9.03,0,0
 36-46,0,0,0,0,8.86,3.22,122.46,0.81,0.81,8.86,0,0,0.81,0.81,0,0,0.81,0,0.81,32.23,0.81,0.81,8.06,439.9,0.81,2.42,0.81,0,0,7.25,0,0,0,0,0,79.76,0,3.22,0,0.81
 48-58,0,0,0,0,6.31,2.87,180.75,0.57,0.57,20.66,1.15,0,1.15,0.57,0,0.57,0,0,0,31.56,0.57,1.72,5.16,679.96,0.57,0,1.15,0,0,1.72,0,0,0,0,0,83.2,0,2.87,0,2.87
 60-70,0,0,0,0,5.89,6.87,151.15,0.98,1.96,12.76,0.98,0,0,0.98,0,0.98,0,0,0,29.45,0,1.96,3.93,254.21,0,1.96,0.98,0,0,2.94,0,0,0.98,0,0,27.48,0.98,3.93,0,0
 72-82,0,0,0.98,0,2.94,23.56,94.24,0,1.96,19.63,0,0,0,2.94,0,1.96,0.98,0,0,35.34,1.96,1.96,3.93,175.72,0,1.96,0.98,0,0,1.96,0,0,0,0,0,14.72,0.98,2.94,0.98,0
 84-94,0,0,0,0,5.31,16.99,63.72,1.06,2.12,13.81,1.06,0,0,2.12,3.19,1.06,2.12,0,0,26.55,1.06,3.19,2.12,98.77,2.12,1.06,1.06,0,1.06,1.06,0,0,0,0,0,2.12,0,4.25,2.12,0
 96-106,0,0,0,0,12.02,19.67,26.23,1.09,0,5.46,7.65,0,0,4.37,0,0,1.09,0,2.19,20.76,1.09,0,1.09,83.06,0,3.28,1.09,0,0,13.11,0,0,1.09,0,0,1.09,1.09,2.19,2.19,0
108-118,0,0,1.53,0,6.13,16.09,24.51,0,0,6.89,0.77,0,0,3.83,2.3,0,1.53,0.77,0,9.96,3.06,0.77,1.53,72.77,0.77,1.53,2.3,0,0,6.13,0,0,0.77,0,0,2.3,0,0.77,0,0
120,0,0,0,0,5.88,11.76,33.32,0,0,11.76,3.92,0,0,3.92,0,0,0,0,0,19.6,0,3.92,1.96,74.47,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0
