stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,202.28,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,5.26,0,0,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,168.24,2.63,0,0,215.55,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,270.64,22.03,0,0,302.11,0,3.15,9.44,6.29,12.59,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,1,34,3,5,0,0,0,1,0,0,0,0,2,0,1,34,11,0,0,9,23,3,0,3,4,0,14,0,38,1,11,61,19,0,0,0,0,55
 24-34,0,0,0,0,9.85,0,3.28,0,0,0,0,0,1.64,0,0.82,7.39,1.64,0,123.95,15.6,0,0,12.31,43.51,1.64,0.82,0.82,0,0,6.57,0,0,0,1.64,0,11.49,0,0,4.93,0,174.02
 36-46,0,0,0,0,8.86,0,6.45,0,0,3.22,0,0,0,0,0,3.22,0,0,127.3,20.14,0,0,3.22,25.78,0.81,0,0,0,0,8.06,0,0,0,0,0,4.83,0,0,3.22,0,147.44
 48-58,0,0,0,0,4.59,0,14.35,0,1.72,4.59,0,0,0.57,0,0,11.48,0,0,103.28,22.38,0,0,4.02,32.13,0,0.57,0,0,0,2.3,0,0,0,0,0,8.03,0,0,0.57,0,176.16
 60-70,0,0,0.98,0,6.87,0,10.8,0.98,0,3.93,0,0,0,0,0,18.65,0,0,55.95,29.45,0,2.94,0.98,12.76,0,1.96,0,0,0,0.98,0,0,0,0,0,1.96,0,0,1.96,0,139.38
 72-82,0,0,0,0,4.91,0,19.63,0,0,11.78,0,0,0,0,0,31.41,0,0,53.01,35.34,0,0,0.98,22.58,0,0,0,0,0,3.93,0,0,0,0,0,1.96,0.98,0,1.96,2.94,135.47
 84-94,0,0,0,0,14.87,0,14.87,0,3.19,9.56,1.06,0,0,1.06,1.06,37.17,0,0,78.59,15.93,0,3.19,2.12,7.43,1.06,0,0,0,0,1.06,0,0,0,0,0,1.06,0,2.12,0,0,97.71
 96-106,0,0,0,0,4.37,0,13.11,0,1.09,17.49,1.09,0,0,1.09,1.09,32.79,0,0,67.76,15.3,1.09,0,2.19,10.93,0,0,0,0,1.09,3.28,0,0,0,0,0,4.37,0,1.09,2.19,4.37,96.17
108-118,0,0,0,0,4.6,0,4.6,0,1.53,12.26,0,0,0,1.53,0,45.96,0,0.77,88.09,10.72,0,1.53,3.83,13.02,0,0,2.3,0,2.3,1.53,0,0,0,0,0,0,0,0,0.77,0,117.96
120,0,0,0,0,3.92,1.96,1.96,0,0,13.72,0,0,0,0,0,33.32,0,0,37.24,13.72,0,1.96,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,1.96,1.96,60.75
