stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,173,2,0,5,0,0,0,2,0,1,0,0,1,1,0,4,0,0,6,16,0,0,1,0,15,0,1,1,1,11,0,0,2,0
 24-34,0,0,174.02,0,0,15.6,0,8.21,0,0,0,0,0.82,0,0,8.21,0,41.04,0.82,0,27.91,17.24,0.82,0,4.1,0,32.01,0,1.64,0,0,5.75,0,0,22.16,0
 36-46,0.81,0,96.68,0,0,9.67,0,19.34,0,2.42,0.81,0,3.22,0,1.61,8.06,0,165.97,0,0.81,47.53,16.92,0,0,2.42,0,28.2,0,0.81,0.81,0,6.45,0,0,28.2,0
 48-58,1.72,0,68.28,0,0,6.31,1.15,21.8,1.72,2.3,0,0,1.72,0,0.57,7.46,0,121.07,0.57,0,35,12.05,0,0,6.89,0,17.21,0,0,1.15,0,10.33,0,0,24.1,0
 60-70,2.94,0,110.91,0,0,11.78,5.89,52.02,0.98,6.87,0,0,5.89,0,0.98,18.65,0.98,258.14,0.98,0,47.11,13.74,0,1.96,7.85,0,14.72,0,2.94,1.96,0,4.91,0,0,24.54,0.98
 72-82,0,0,66.75,0,0,10.8,0.98,21.6,1.96,0,0.98,0,6.87,0,0,11.78,0,178.66,4.91,2.94,32.39,10.8,0,0,9.82,0,11.78,0,1.96,0,0,0,0.98,0.98,21.6,0.98
 84-94,2.12,0,148.69,0,0,28.68,2.12,53.1,0,7.43,1.06,0,0,0,1.06,8.5,0,116.82,4.25,2.12,29.74,8.5,0,2.12,7.43,0,42.48,0,2.12,2.12,0,1.06,4.25,0,18.05,1.06
 96-106,1.09,0,87.43,1.09,1.09,9.84,4.37,29.51,2.19,5.46,4.37,0,4.37,1.09,2.19,15.3,0,102.73,4.37,0,18.58,10.93,0,1.09,19.67,0,13.11,0,1.09,1.09,0,0,0,1.09,29.51,1.09
108-118,3.06,0,94.21,0,0,12.26,1.53,44.43,0,1.53,2.3,0,2.3,0,3.06,9.19,0,77.36,0.77,0.77,9.96,9.19,0,1.53,8.43,0,5.36,0,3.06,0,0,0.77,1.53,0.77,17.62,1.53
120,1.96,0,113.67,0,0,5.88,0,48.99,0,5.88,3.92,0,0,1.96,0,7.84,0,88.19,0,0,7.84,7.84,0,0,7.84,0,11.76,0,9.8,0,0,5.88,0,0,19.6,1.96
