stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,3.28,0,0,0.82,0,0,0,0,0,0,0,0,0,4.93,1.64,1.64,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,37.06,2.42,0.81,0,1.61,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,0.57,0,0.57,0,0,8.61,1.72,2.3,0,0.57,0.57,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0.98,2.94,0,0,0.98,0,5.89,0.98,4.91,0,0,0,0.98
 72-82,0,0.98,0,0,0,0.98,0,0.98,0.98,0,0,2.94,0,0,0.98,0,4.91,0,4.91,0,0,0,4.91
 84-94,0,0,0,1.06,0,0,0,0,2.12,1.06,1.06,0,0,0,0,1.06,4.25,4.25,5.31,0,0,0,18.05
 96-106,0,0,0,0,1.09,0,0,1.09,2.19,0,4.37,3.28,1.09,1.09,1.09,1.09,2.19,10.93,3.28,0,1.09,0,18.58
108-118,0,0,0,0.77,0,0,0,0,3.06,0,1.53,2.3,0.77,0,1.53,0,1.53,6.89,4.6,0,0,0,22.98
120,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,5.88,5.88,0,0,0,11.76
