stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,53,1,1,0,0,1,19,0,0,0,0,0
 24-34,0.82,0.82,0,5.75,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0.82,342.3,0,9.03,0,0.82,1.64,74.7,0,0,0,0,0
 36-46,0,0,0,61.23,0,0,5.64,0,0,0,0,0,0,0.81,3.22,0,0,0,895.1,0,10.47,1.61,1.61,0,153.08,0,0,0.81,0,0
 48-58,0,3.44,0,168.12,0,1.15,18.36,0,0,0,0,0,0.57,0,11.48,0,0,1.15,1090.8,0.57,5.74,1.72,2.3,0,166.98,0,0,0,0,1.72
 60-70,1.96,0.98,0,313.11,0,1.96,22.58,0,0,0,0,0,0,0,4.91,1.96,0,2.94,1547.86,0,1.96,0.98,1.96,0.98,201.21,0,0,0,0,0
 72-82,0,8.83,0.98,212.04,0,0.98,32.39,0,0,1.96,0,0,0,0,15.71,0,0,1.96,1169.16,0,8.83,2.94,1.96,0,113.87,0,0.98,0.98,0.98,0.98
 84-94,1.06,7.43,2.12,155.06,0,1.06,31.86,0,0,0,0,0,1.06,1.06,15.93,0,1.06,2.12,577.75,0,4.25,3.19,10.62,1.06,75.4,1.06,2.12,1.06,0,0
 96-106,1.09,8.74,2.19,111.47,0,0,24.04,1.09,0,3.28,1.09,1.09,1.09,2.19,7.65,0,0,0,464.46,0,6.56,1.09,6.56,0,25.14,0,1.09,0,0,1.09
108-118,1.53,4.6,0.77,91.15,0.77,0.77,16.09,0.77,0,0.77,0,0.77,0,0,11.49,0,0,0,505.54,0,5.36,4.6,4.6,0,21.45,0.77,0,0.77,1.53,0
120,0,13.72,0,82.31,5.88,0,25.48,0,0,1.96,0,0,0,0,3.92,0,0,3.92,585.98,0,0,1.96,1.96,0,25.48,0,0,1.96,0,1.96
