stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,ionocyte,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,13.14,0,0,0,0,0,0,0,0,26.29,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,10,0,1,0,0,0,0,0,0,0,1,1,0,2,2,0,1,1,0
 24-34,0,0,3.28,0,2.46,0,0,0,0.82,0.82,4.1,0.82,0.82,1.64,0,0.82,0,0,0,1.64,0.82
 36-46,0,0,3.22,4.03,0.81,0,1.61,0.81,0,1.61,13.7,0,0,0.81,0,0,0,0.81,0,0.81,0
 48-58,0,0,0,3.44,1.15,0,0,0,0,0,2.87,0,0.57,0,0,0.57,0,0,0,1.72,0
 60-70,0,0,0.98,0.98,0.98,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,1.96,0,0,0.98,2.94,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,2.12,1.06,0,1.06,0,0,2.12,0,0,2.12,0,0,4.25,0,0,0,0,0
 96-106,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0
108-118,0,0,0.77,0,2.3,0.77,0.77,0,0,1.53,1.53,0,3.06,0,0,3.83,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
