stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,15.77,26.29,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,3.15,0,0,0,0,0,62.94,0,0,0,0,0,0,0,0,0,0,72.38,107,0,0,78.67,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,3,16,4,4,0,0,0,2,2,79,0,0,0,0,0,0,5,0,0,6,72,513,0,4,5,0,0,15,1,1,2,32,0,0,0,0,0
 24-34,0,0,4.93,0,5.75,0.82,6.57,0,0.82,1.64,0.82,0,5.75,0,0,0.82,0.82,0,0,27.91,1.64,0,9.03,54.18,143.65,0.82,21.34,0,0,2.46,0,0.82,1.64,3.28,32.01,0,0,4.93,0,0.82
 36-46,0,0,0.81,0,2.42,0,14.5,0,1.61,10.47,8.06,0,0,0.81,0.81,0,0.81,0,0,45.92,1.61,0,8.06,51.56,110.38,0.81,21.75,0,0,2.42,0,0.81,0,0,20.95,0,0,5.64,0,0
 48-58,1.15,0,2.87,0,0.57,0,18.36,0,0,16.64,21.23,0.57,0.57,1.72,0,0,0.57,0,0.57,78.04,6.31,0,13.2,21.23,39.02,1.15,17.79,0,0,1.72,0,0,0,0,23.53,0,0.57,4.02,0,1.72
 60-70,0,0,0.98,0,2.94,0,47.11,0,0,20.61,98.15,0.98,1.96,3.93,0.98,0.98,0,0,0,117.78,0,0,18.65,55.95,19.63,0.98,15.7,0,0,0,0,0,0,0,25.52,0,0,11.78,0.98,0
 72-82,0,0,1.96,0,2.94,0.98,50.06,0,0.98,29.45,202.22,1.96,0,7.85,0,0,0.98,0,0,153.14,4.91,2.94,11.78,97.18,7.85,0,26.5,0,0,0.98,0,0,0,0,9.82,3.93,1.96,15.71,0,0
 84-94,0,0,5.31,0,2.12,1.06,37.17,0,0,20.18,105.14,3.19,2.12,1.06,0,0,1.06,0,0,122.13,5.31,3.19,7.43,61.6,14.87,1.06,36.11,0,1.06,2.12,0,0,0,0,7.43,6.37,2.12,22.3,1.06,1.06
 96-106,0,0,5.46,0,5.46,0,44.81,0,1.09,9.84,139.88,2.19,0,5.46,2.19,0,0,1.09,0,80.87,5.46,1.09,3.28,90.71,18.58,0,28.41,0,1.09,2.19,0,0,1.09,0,5.46,21.86,1.09,18.58,1.09,0
108-118,0,0,3.83,0,2.3,2.3,26.04,0.77,0,24.51,109.53,3.83,0,4.6,1.53,0,0.77,0,0,61.28,2.3,0,4.6,74.3,16.85,1.53,24.51,0,0,0.77,0,0,0.77,0,3.06,21.45,1.53,13.79,0,0
120,0,0,5.88,0,1.96,0,25.48,0,0,3.92,74.47,0,0,3.92,1.96,0,0,1.96,0,48.99,7.84,1.96,0,78.39,11.76,1.96,9.8,0,0,1.96,0,1.96,0,0,5.88,13.72,1.96,7.84,1.96,0
