stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,xanthophores
  5-6,12.26,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,0,0,0,1.64,0,1.64,0.82,11.49,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,4.83,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.72,0,0.57,0,1.15,0,4.59,0,1.15,0.57,0,0
 60-70,0,0,0,0,0,2.94,0,0,0,0,0.98,0,0.98,0.98,0,0,10.8,0,0,0,0,0.98
 72-82,0,0,0,0,0,1.96,0,0,0.98,0.98,10.8,0,2.94,0,1.96,0,16.69,0,0,0,0,0
 84-94,0,0,0,1.06,0,1.06,1.06,0,0,0,11.68,1.06,1.06,0,1.06,0,12.74,0,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,0,1.09,1.09,0,22.95,1.09,0,0,1.09,0,31.69,0,0,0,0,1.09
108-118,0,0,0,0,0,0.77,0,0,3.06,0,14.55,0.77,0,0,2.3,0,13.02,0,0,0,0,0
120,0,0,0,0,1.96,3.92,0,0,1.96,0,19.6,0,0,0,1.96,0,11.76,0,0,0,0,0
