stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,239.06,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,12.26,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,13.14,0,0,0,15.77,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,236.58,23.66,0,0,55.2,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,18.88,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,213.99,3.15,0,0,50.35,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,0,1.64,0,0,0,0,0,0.82,6.57,0,10.67,6.57,0,0,0,0,0,1.64,0,0,0,0
 36-46,0,0,0,0,59.62,0,0.81,0,0,0,0,0,0,0,0,0,0,0.81,0,0.81,3.22,0,0,0,18.53,0,20.14,3.22,0,0.81,0,0,0,4.03,0,0,0,0
 48-58,0,0,0,0,2.3,0,0,0,0,0,0.57,0,0,0,0,0.57,0,4.02,0,0,0.57,0,0,0.57,2.87,0,6.31,2.87,0,0,0,0,0,1.15,0,0,0,0
 60-70,0,0,0,0,2.94,0,4.91,0,0,0,0.98,0,0,0,0,0.98,0,15.7,0,0,1.96,0,0,0,4.91,0,6.87,9.82,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,1.96,2.94,0.98,17.67,0,0.98,0.98,9.82,2.94,0,0,0.98,0.98,0.98,28.47,0,0,12.76,0,0,0,30.43,0.98,11.78,14.72,0,5.89,0,0,0.98,0,1.96,0,0,0
 84-94,0,0,0,0,4.25,0,6.37,0,0,2.12,2.12,0,0,1.06,0,3.19,0,52.04,0,0,5.31,0,0,0,12.74,0,6.37,9.56,0,3.19,0,0,0,1.06,0,1.06,0,1.06
 96-106,0,0,0,4.37,3.28,1.09,15.3,2.19,0,0,5.46,2.19,0,0,2.19,1.09,0,87.43,1.09,0,10.93,1.09,2.19,2.19,20.76,0,19.67,8.74,0,8.74,0,0,0,0,0,0,0,0
108-118,0,0,0,8.43,2.3,0.77,7.66,0,0.77,2.3,1.53,0.77,0,0,1.53,1.53,0,62.04,0.77,0,11.49,0,0,0,34.47,0,16.09,10.72,0,5.36,0,0,0,0,0,1.53,0.77,1.53
120,0,0,0,5.88,0,0,9.8,0,0,1.96,1.96,0,0,0,3.92,0,0,47.03,0,0,7.84,0,0,1.96,35.28,1.96,3.92,3.92,0,1.96,0,0,0,1.96,0,1.96,0,0
