stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,2.63,0,0,0,0,0,49.95,0,0,0,0,0,0,0,0,0,34.17,0,0,0,15.77,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,103.85,0,0,0,0,0,0,0,0,0,97.56,3.15,0,0,40.91,0,0,9.44,0,0,0,0,0
 14-21,0,0,3,1,17,3,0,1,0,0,0,1,2,26,0,0,1,0,0,2,0,0,2,43,6,7,3,1,13,13,13,1,16,30,0,0
 24-34,0,0,0.82,0.82,5.75,1.64,0,6.57,0,1.64,0,4.1,0,1.64,0,0,4.1,10.67,0,6.57,1.64,0,6.57,79.62,1.64,40.22,7.39,0,13.95,0,6.57,0,1.64,31.19,0,0
 36-46,0,0,3.22,0,8.06,0,0,4.83,0,0.81,1.61,2.42,0.81,0,0.81,0,4.83,7.25,0,1.61,0.81,0,0,43.51,1.61,28.2,4.03,0,11.28,0,4.03,0,0,20.95,0,0
 48-58,0,0,0,0,5.74,0.57,0,18.36,0,1.15,0,2.87,0.57,0.57,0.57,0,0,5.74,0.57,2.3,0,0,0,26.97,0,11.48,2.3,0,3.44,0,2.3,0,0,12.62,0,0.57
 60-70,0,0,0.98,0,11.78,0,0,11.78,0,0.98,1.96,3.93,2.94,0.98,0,0,0.98,5.89,1.96,3.93,0,0.98,0,32.39,0,14.72,1.96,0,5.89,0,1.96,0,0,8.83,3.93,0
 72-82,0,0,6.87,0,12.76,10.8,0,4.91,0,2.94,0,12.76,6.87,0,0.98,0.98,3.93,11.78,0.98,6.87,0.98,0.98,1.96,51.05,0,17.67,7.85,0,7.85,0,2.94,0,0,18.65,8.83,0.98
 84-94,0,0,2.12,0,13.81,3.19,0,2.12,0,0,3.19,5.31,7.43,1.06,1.06,0,1.06,10.62,0,3.19,1.06,0,3.19,29.74,0,24.43,5.31,0,10.62,0,9.56,0,0,8.5,24.43,0
 96-106,0,0,5.46,0,24.04,3.28,0,9.84,0,1.09,0,15.3,7.65,0,1.09,1.09,3.28,25.14,0,6.56,3.28,0,1.09,43.71,0,29.51,1.09,0,19.67,0,2.19,0,0,10.93,63.39,0
108-118,0,0,5.36,0,12.26,3.83,1.53,3.06,0,3.83,0,12.26,11.49,0.77,0,1.53,9.19,19.92,0,2.3,5.36,0.77,0,48.26,0,19.15,4.6,0,12.26,0,5.36,0,0,9.96,61.28,0.77
120,0,0,0,0,17.64,5.88,1.96,9.8,1.96,3.92,0,3.92,7.84,0,0,0,1.96,11.76,1.96,5.88,0,0,0,56.83,0,15.68,3.92,0,31.36,0,7.84,0,0,3.92,27.44,0
