stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,27,0,0,0,0
 24-34,0,1.64,0.82,0,0,2.46,0,0,0,0,0,0,0,0,0.82,0,0,0,135.44,8.21,0,0,0,50.89,0,0,0,0
 36-46,0,0,0.81,0.81,0,12.09,0,0.81,0,2.42,0,0,0,0,0,0,0,0,346.44,12.89,0,0,0,75.73,0,0,0,0.81
 48-58,0,0.57,0.57,0,0,44.76,0,0,0.57,9.18,0,0,0.57,0,1.72,0,0,0.57,458.47,4.02,0,0,1.15,73.45,0,0,0,0.57
 60-70,0,0,1.96,0,0,129.56,0,0,0,6.87,0.98,0.98,0.98,0,0,0.98,0,0,561.43,3.93,0,0,0.98,61.84,0.98,0.98,0,0.98
 72-82,0,1.96,2.94,0.98,0,144.3,0,0,0,17.67,0,0.98,0,0.98,8.83,0,0.98,0.98,493.78,7.85,0.98,0.98,0.98,41.23,0,0,0.98,0
 84-94,0,0,4.25,1.06,0,78.59,0,0,0,9.56,1.06,0,0,1.06,2.12,0,0,1.06,190.1,2.12,0,0,1.06,11.68,0,0,0,2.12
 96-106,0,3.28,2.19,2.19,0,62.29,1.09,0,0,2.19,1.09,1.09,0,0,5.46,0,0,0,150.81,4.37,0,0,2.19,7.65,0,0,1.09,0
108-118,0,0.77,1.53,0,1.53,49.79,0,0,1.53,10.72,0,0,0,0,5.36,0,0,0.77,200.68,4.6,0,0,0,6.13,0,0,0.77,0.77
120,0,0,1.96,0,1.96,48.99,0,0,0,21.56,0,3.92,0,1.96,5.88,0,0,1.96,192.06,5.88,0,0,0,9.8,1.96,0,1.96,3.92
