stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,566.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0
  5-6,0,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,15.77,0,0,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,3.15,12.59,6.29,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,55,0,0,1,2,0,0,0,0
 24-34,0,0,0,0.82,2.46,0,2.46,0,0,0,0,0,0,0,0,0,0,1.64,0,0,1.64,20.52,0.82,0,0,132.16,0,0,0,3.28,0,0,0,0
 36-46,0,0,0,0,0.81,0,2.42,0.81,0,0,0,0,0,0,0,0,0,1.61,0,0,0.81,13.7,0,0,0,95.87,0,0,0,4.83,0,0,0,1.61
 48-58,0,0,0,0,0,0,8.03,1.15,0,1.15,0.57,0,0,0,1.15,0,0.57,2.87,0,0,0.57,9.18,0.57,0,0,129.68,0,0,0,1.15,0,0,0,0
 60-70,0,0,0,0,3.93,0,5.89,0.98,0,0.98,0,0.98,0,0,0.98,0,0,1.96,0,0,0,7.85,0,0,0,194.34,0,0,0,0.98,0,1.96,0,0
 72-82,0,0,0,0,24.54,0,6.87,1.96,0,3.93,0,0,0,1.96,0,0,0,3.93,0.98,0,0,13.74,0.98,1.96,0,302.35,0,0,0,0,0.98,0.98,0,0
 84-94,0,0,0,0,39.3,0,5.31,13.81,0,1.06,1.06,0,2.12,7.43,0,0,0,4.25,6.37,0,0,4.25,1.06,0,0,759.36,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,79.78,1.09,8.74,15.3,0,2.19,1.09,0,4.37,10.93,1.09,0,0,9.84,10.93,1.09,0,13.11,7.65,1.09,0,720.19,0,0,0,0,0,0,0,0
108-118,0,0,0,0,56.68,0,2.3,26.81,0.77,3.06,2.3,0,1.53,16.85,0.77,1.53,0,5.36,6.13,0,0.77,16.09,0.77,0,0,552.26,0,0,0,0.77,1.53,2.3,1.53,0.77
120,0,0,0,0,68.59,0,1.96,11.76,0,0,0,0,3.92,5.88,1.96,0,0,0,3.92,0,0,5.88,1.96,0,0,356.68,0,0,0,1.96,0,0,0,0
