stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,1,0,3,0,0,0,0,0,16,1,0,0,8,0,0,7,2,0,0,1,0,0,0,8,0,1,1,0,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,1.64,0,3.28,0,0,0.82,51.71,0,0,1.64,45.15,0,0,13.95,9.85,1.64,1.64,0,0,0,0,0,4.93,0,0.82,4.93,0,0,1.64,0,0
 36-46,0,0.81,0,0.81,0.81,0,1.61,3.22,9.67,0.81,0,0.81,79.76,0,0,3.22,62.04,0,0.81,9.67,4.03,0,0.81,0,0,0.81,0,0,11.28,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,3.44,2.87,4.59,0,0,0,84.35,0,0,8.61,51.64,0,1.15,4.02,4.59,0.57,0,0,0,0,0,0,2.3,0,0,0.57,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,3.93,0.98,3.93,0,0,0,102.08,0,0.98,0.98,66.74,0,1.96,6.87,2.94,0.98,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,1.96,0.98,0,1.96,3.93,0,0.98,0,0,129.58,0.98,0,0,79.51,0,0,13.74,2.94,0.98,0,0,0,0,0,0,0.98,0,0,0.98,0,0,1.96,0.98,0
 84-94,0,1.06,1.06,0,0,0,7.43,5.31,6.37,2.12,1.06,0,155.06,1.06,2.12,1.06,62.66,1.06,0,3.19,3.19,0,1.06,0,0,2.12,0,0,0,0,0,0,0,0,0,2.12,0
 96-106,0,1.09,2.19,8.74,0,1.09,4.37,4.37,5.46,4.37,0,1.09,203.27,0,1.09,1.09,45.9,1.09,0,2.19,9.84,0,0,0,0,0,1.09,0,1.09,0,0,0,1.09,2.19,1.09,0,0
108-118,0,0.77,3.83,9.96,0.77,0.77,4.6,5.36,3.06,6.13,0,0,167.75,0.77,3.06,0,41.36,0,0,4.6,5.36,0.77,0,0,0.77,0.77,0,0,0,0,0,0,0.77,0,2.3,0,3.83
120,0,0,0,15.68,0,0,0,1.96,0,3.92,0,0,219.5,0,1.96,3.92,25.48,0,0,9.8,1.96,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,1.96,0,1.96
