stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,18.4,0,0,28.92,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,149.84,5.26,0,0,52.57,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,15.73,0,3.15,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,188.82,0,0,0,62.94,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,23,8,8,0,0,18,1,0,0,0,0,0,0,1,12,0,5,104,0,1,6,5,0,0,31,6,0,15,57,0,0,0,0
 24-34,0,0,0,0,1.64,0,5.75,0.82,0,13.13,0,0,0,0,0,0.82,0,0.82,7.39,0,2.46,73.06,0,3.28,0,0,0,0,0.82,1.64,0,3.28,18.06,0,0,0,0
 36-46,0,0,0,0,0.81,0.81,8.86,0,0,4.83,0.81,0,0,0,0,0.81,0,0,5.64,0.81,0,58.81,0,4.83,0.81,0,0,0.81,0,0,0,0,21.75,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,22.95,0,0.57,6.89,0,0,0,0,0.57,0,0,0.57,14.92,0,2.3,55.66,0.57,3.44,0.57,0,0,0.57,0,0,0,0,14.92,0.57,0.57,0,0
 60-70,0,0,0,0,0.98,0,33.37,0.98,0,9.82,0,0,0.98,0,0,0,0,0,11.78,0,3.93,74.6,0.98,4.91,0,0,0,0,0,0,0,0,4.91,0,0,0,0
 72-82,0,0,0,0,0.98,0,25.52,0,0.98,10.8,0,0,1.96,0.98,0,0,0,0,15.71,0,1.96,54.97,0.98,1.96,0.98,0,0,0.98,0,0,0,0,10.8,0.98,1.96,0.98,0.98
 84-94,0,0,0,0,2.12,0,14.87,2.12,1.06,5.31,1.06,0,0,0,0,0,0,0,11.68,1.06,2.12,22.3,0,1.06,2.12,0,0,3.19,0,1.06,0,0,2.12,1.06,0,0,0
 96-106,0,0,1.09,0,2.19,0,5.46,0,0,6.56,0,0,1.09,1.09,0,0,2.19,0,13.11,0,1.09,18.58,0,2.19,3.28,0,1.09,1.09,0,1.09,0,0,1.09,0,0,0,0
108-118,0,0,0,0,6.13,0,8.43,1.53,0,3.06,0,0,0,1.53,0,0,0,0,9.19,0.77,2.3,15.32,0,3.83,0.77,0,0,2.3,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,11.76,0,9.8,1.96,1.96,3.92,1.96,0,0,0,0,0,0,0,1.96,0,3.92,19.6,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0,0
