stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,8,121,46,0,47,0,0,14,5,1,0,2,0,0,0,0,83,0,0,65,934,20,10,18,36,3,1,122,9,84,261,0,0,7,0,0
 24-34,0,0,4.93,60.74,9.03,0,242.15,0.82,0,30.37,0,1.64,1.64,0.82,0,4.1,0.82,0.82,209.32,1.64,3.28,76.34,1938.86,14.78,22.98,14.78,0,2.46,0,0,1.64,16.42,484.31,0,0,32.83,0,1.64
 36-46,0,0,0.81,16.11,3.22,0,447.15,0.81,0.81,26.59,0.81,0.81,0,0,0.81,0,0.81,0,183.69,0.81,5.64,73.32,1331.77,8.06,10.47,8.86,0,4.83,0,1.61,4.83,0,349.66,0,0,17.72,0,1.61
 48-58,0,0,0,21.8,2.3,0,379.29,1.15,2.3,21.8,3.44,3.44,0.57,0,1.72,1.72,1.72,0,196.82,0,6.89,43.04,522.16,1.72,3.44,10.33,0,1.72,0,0,1.15,0,115.33,0,0,14.35,0,2.3
 60-70,0.98,0,0,33.37,0.98,0,265.01,0.98,0,35.33,6.87,1.96,1.96,0.98,1.96,5.89,2.94,0,193.36,0.98,13.74,28.46,268.94,1.96,2.94,7.85,0,0,0,0,0.98,0,17.67,0,0,6.87,0,0
 72-82,0,0,0,28.47,0,0,120.74,0.98,0.98,30.43,8.83,2.94,0,1.96,0,0.98,1.96,0,168.85,0,8.83,22.58,205.17,0.98,5.89,11.78,0,0,0,0,3.93,0,4.91,2.94,0.98,15.71,0.98,0
 84-94,0,0,0,24.43,3.19,1.06,99.83,0,3.19,15.93,10.62,1.06,5.31,1.06,3.19,2.12,2.12,0,120.01,0,15.93,21.24,129.57,5.31,7.43,5.31,0,2.12,0,0,2.12,0,4.25,4.25,2.12,9.56,0,0
 96-106,0,0,0,18.58,1.09,0,64.48,0,0,9.84,7.65,3.28,5.46,2.19,2.19,1.09,0,0,59.01,0,5.46,16.39,120.21,2.19,3.28,7.65,0,3.28,0,0,2.19,0,2.19,1.09,0,18.58,0,0
108-118,0,0,0,8.43,5.36,0,67.4,0,0,10.72,6.89,1.53,7.66,1.53,0.77,0.77,0,0,39.83,0,1.53,8.43,115.66,2.3,3.06,4.6,0,1.53,0.77,0,2.3,0,2.3,0.77,0,8.43,0,0
120,0,0,0,7.84,9.8,0,64.67,1.96,1.96,19.6,0,0,13.72,0,0,0,3.92,0,58.79,0,0,7.84,152.86,1.96,5.88,1.96,0,1.96,0,0,0,0,1.96,0,0,7.84,0,0
