stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,39,1,0,4,0,3,1,0,0,0,0
 24-34,0,0,0,1.64,0,0.82,1.64,0,0,0,0,0,0.82,0,2.46,0.82,0.82,54.18,0,0,0,0.82,0,0.82,0,0,2.46,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0.81,3.22,0,16.11,0,0,0,0.81,0,0.81,0,0,4.03,0
 48-58,0,0,0,0,0,0,1.15,0,0.57,0,0,0,5.74,0,1.72,1.72,0,4.59,0,0.57,0,0,0,0,0,0,10.9,0
 60-70,0,0,0,0.98,0,2.94,0.98,0,2.94,0,0.98,0,8.83,0,0,0.98,0,2.94,0,0,0,0,0,0,0,0,14.72,0
 72-82,0,0,0,0,0.98,1.96,1.96,0.98,4.91,0,0,0,19.63,0.98,0,1.96,0,3.93,0,0,0,0,0,0,0,0,31.41,0.98
 84-94,0,0,0,1.06,0,0,1.06,0,5.31,0,0,0,10.62,0,1.06,2.12,0,6.37,0,0,0,0,0,1.06,0,1.06,22.3,0
 96-106,0,0,0,1.09,0,3.28,1.09,0,3.28,1.09,0,0,15.3,0,0,5.46,0,3.28,0,1.09,0,1.09,0,0,0,0,42.62,2.19
108-118,0,0,0,0,0,1.53,0,0,5.36,0,0,0.77,24.51,0,0,4.6,0,6.13,0,0,0,2.3,0,0,0,0.77,28.34,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,15.68,0,0,5.88,0,7.84,0,0,0,0,0,0,1.96,0,37.24,0
