stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,mesenchyme,mural.cell,neural,olfactory,otic,spinal.cord
 14-21,0,0,0,0,0,0,0,7,0,0,0
 24-34,0,0,2.46,0,0.82,0,0,102.61,0.82,0,17.24
 36-46,0.81,0,24.17,0,29.81,0.81,0,356.91,0,0,76.54
 48-58,0,0,22.38,0,48.77,1.72,0.57,162.39,0,0,55.09
 60-70,0.98,0,16.69,0,35.33,0.98,0,100.12,0,0,14.72
 72-82,0,0,12.76,0,22.58,1.96,0,36.32,0.98,0,5.89
 84-94,0,0,11.68,1.06,15.93,0,0,32.92,0,0,8.5
 96-106,0,0,6.56,0,17.49,1.09,0,21.86,0,1.09,1.09
108-118,0,0.77,6.13,0,8.43,0,0,17.62,0,0.77,0
120,0,0,5.88,0,13.72,0,0,5.88,0,1.96,0
