stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,0,7.89,0,0,0,0,7.89,0,0,0,0,0,0,0,81.49,0,0,0,26.29,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,62.94,3.15,0,0,22.03,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,55,1,0,0,0,0,5,1,34,0,0,0
 24-34,0,0,0.82,0,2.46,0,0,10.67,0,0,1.64,0,0,0,0,0,0,3.28,0,0.82,95.22,0.82,0.82,1.64,0,0.82,0,0,37.76,0,0,0
 36-46,0,0,0,0,0,0,0,24.17,0,0,0,0,0,0.81,0,0,0,3.22,0,0,82.18,0,0,0,0,0,0,0,24.17,0,0,0
 48-58,0,0,0,0,0,0,0,22.38,0,0,9.18,0,0,0,0,0,0,6.31,0,1.15,34.43,0,0,0,0,0,0,0,8.61,0,0,0
 60-70,0,0,0,0,0.98,0,0,11.78,0,0,79.5,0,0,0,0,0,0,5.89,0,0,12.76,0,0,0,0,0,0,0,10.8,0,0,0
 72-82,0,0,0,0,0,0.98,0,20.61,0,0,235.6,0,0,0,0,0,0,9.82,0.98,0.98,20.61,0,1.96,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,3.19,0,0,13.81,0,0,178.42,0,0,0,0,0,0,5.31,1.06,1.06,12.74,0,1.06,2.12,0,0,0,0,4.25,1.06,0,1.06
 96-106,0,0,0,0,2.19,0,0,13.11,2.19,1.09,222.94,0,0,0,1.09,0,1.09,6.56,0,1.09,22.95,0,0,0,0,0,0,0,2.19,0,1.09,0
108-118,0,0,0.77,0,3.06,0,0,8.43,0,0,237.45,0,0,0,0,0,0,3.06,0,1.53,13.79,0,0,0.77,0,0,0,0,4.6,0,0,0
120,0,0,0,0,1.96,0,1.96,19.6,0,3.92,254.77,0,0,0,0,1.96,0,1.96,0,0,17.64,1.96,0,1.96,0,1.96,0,0,3.92,0,0,0
