stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,210.85,2833.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1225.55,0,0,0,0,0,0,0,0,0,0,0
  5-6,202.28,2782.85,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.44,0,0,0,98.07,0,619.09,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.66,68.35,0,141.95,0,0,0,28.92,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,970,21.03,0,0,2026.74,0,52.57,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,47.2,0,160.5,0,3.15,0,18.88,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,626.25,9.44,0,0,1397.25,0,25.18,3.15,3.15,62.94,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,25,75,13,0,2,0,0,0,7,4,0,0,32,0,0,0,22,0,0,9,58,7,0,0,281,0,143,0,270,8,1,75,88,0,0,3,0,0
 24-34,0,0,0,4.93,22.16,2.46,0,3.28,0,0,0.82,4.93,2.46,0,1.64,58.28,0,0,0.82,8.21,6.57,0,5.75,60.74,1.64,8.21,0,0,0,28.73,0,0,33.66,0,13.95,36.12,0,0,1.64,0,0
 36-46,0,0,0,0,24.17,0.81,0,4.03,0.81,0.81,2.42,3.22,1.61,0,0.81,22.56,0,0,0,8.06,1.61,0,1.61,33.84,0,16.11,0,0,0,20.14,0,0,16.11,0,0,24.17,0,0,0.81,0,0.81
 48-58,0,0,0,0,14.92,1.15,0,5.16,0,1.72,0.57,8.03,0,0,0,5.74,0,0,0,9.18,2.3,0,2.3,42.46,0,16.64,0,0,0,13.2,0,0,8.61,0,0,9.18,0,0,0.57,0,4.02
 60-70,0,0,0,0,16.69,0,0,6.87,0,3.93,0,23.56,0.98,0,0,13.74,0,0,0,7.85,1.96,1.96,0.98,34.35,0,33.37,0.98,0,0.98,11.78,0,0,16.69,0,0,0.98,0.98,0,0,0,0
 72-82,0,0,3.93,0,14.72,0.98,0,10.8,0.98,2.94,1.96,142.34,3.93,0,0,34.36,0,0,0.98,25.52,0.98,0,0.98,99.15,0,59.88,1.96,0,0,10.8,0,0,9.82,0,0,7.85,0,0,0,0,0
 84-94,0,0,4.25,0,54.16,0,0,5.31,0,6.37,1.06,108.33,5.31,0,0,59.47,0,2.12,1.06,15.93,1.06,3.19,0,54.16,0,72.22,1.06,0,0,47.79,0,0,39.3,0,0,1.06,2.12,0,0,1.06,0
 96-106,0,0,1.09,0,44.81,0,0,12.02,0,6.56,2.19,238.24,13.11,0,0,57.92,0,2.19,3.28,10.93,2.19,0,1.09,62.29,0,139.88,4.37,0,2.19,37.16,0,0,29.51,0,0,4.37,3.28,0,2.19,0,0
108-118,0,0,3.83,0,43.66,0,3.83,6.13,0,5.36,3.06,188.43,16.85,0,0,43.66,0.77,0,3.83,11.49,3.06,0,0.77,49.79,0,78.89,1.53,0,0,29.11,0,0,27.57,0,0,1.53,4.6,0.77,0.77,0.77,0
120,0,0,5.88,0,41.16,0,1.96,3.92,0,1.96,1.96,148.94,37.24,0,0,25.48,1.96,0,1.96,1.96,0,0,0,23.52,0,47.03,0,0,0,11.76,0,0,15.68,0,0,5.88,1.96,0,0,0,0
