stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pgc,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,1,4,0,0,0
 24-34,17.24,0,1.64,0.82,0,0,0,0,0,0,0.82,3.28,0,0,0.82,13.13,0,0,0,0.82,0,0,0,3.28,0,0,0
 36-46,12.89,0,3.22,2.42,0,0.81,0,0,0,0,0,3.22,0,0,0.81,12.09,0.81,0,0,1.61,0,0,0,1.61,0,0,0
 48-58,4.02,0,5.74,6.31,0,2.3,0,0,0,0,0,1.72,0,0.57,0,9.18,0,0,0,0.57,0,0,0,3.44,0,0,0
 60-70,13.74,0,4.91,7.85,0,0,0.98,0,0,0,0,2.94,0,0,0.98,7.85,0,0,0.98,4.91,0,0,0,1.96,0,0,0
 72-82,10.8,0,0.98,5.89,0,1.96,0,0.98,0,0,0,1.96,0,0,0.98,3.93,0,0,0,1.96,0,0,0,0,0,0.98,0
 84-94,27.61,1.06,4.25,6.37,0,0,0,0,2.12,0,0,2.12,0,0,0,2.12,0,1.06,0,3.19,0,1.06,0,1.06,1.06,1.06,0
 96-106,15.3,0,1.09,6.56,0,2.19,0,0,2.19,0,0,4.37,0,0,0,4.37,0,0,0,1.09,0,0,0,0,0,0,1.09
108-118,23.74,0,4.6,9.96,0,0.77,2.3,0,0,3.06,0,1.53,1.53,0,0.77,6.13,0,0,0,6.13,0.77,0,0,0,0,0.77,0
120,13.72,0,0,17.64,1.96,5.88,1.96,0,3.92,0,0,0,0,1.96,0,1.96,0,0,0,9.8,0,0,0,0,0,0,0
