stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,70.98,2.63,0,0,31.54,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.97,0,0,0,37.76,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,1,0,0,3,0,1,30,4,0,1,0,0
 24-34,0,0,0,0,0,5.75,0,0,0,1.64,0.82,0,0.82,0,0,0,0.82,0,5.75,0,0,3.28,64.85,0.82,1.64,0.82,0,0,2.46,0,0.82,0,2.46,15.6,0,4.93,0,0
 36-46,0,0,0,0.81,0,8.86,0,0.81,0.81,3.22,0,0,0,0,0,0,0,0,8.86,0,0.81,1.61,87.82,0,0.81,0.81,0,0,4.03,0,0,0,0,16.92,0,1.61,0,0
 48-58,0,0,0,0,0,17.21,0,0,0,2.3,0,0,0,0,0,0.57,0,1.15,14.92,0,0,4.02,100.99,0.57,1.15,0,0,0,1.72,0,0,0,0,14.92,0,2.3,0,0.57
 60-70,0,0,0,0.98,0,23.56,0,0,0.98,10.8,0,0,0.98,0,0,0,0,0,20.61,0,0.98,2.94,129.56,0.98,1.96,0,0,0,1.96,0,0,0,0,8.83,0,1.96,0,0
 72-82,0,0,0,0,1.96,55.95,0,0,0,9.82,1.96,0,0.98,0,1.96,0,1.96,0.98,37.3,0,3.93,0,160.99,0,4.91,1.96,0,0,2.94,0,0,0,0,15.71,0,1.96,0.98,0
 84-94,0,0,0,2.12,1.06,12.74,1.06,2.12,0,3.19,0,0,0,0,0,0,2.12,0,14.87,0,1.06,1.06,36.11,0,2.12,1.06,0,0,2.12,0,1.06,0,0,7.43,1.06,1.06,0,0
 96-106,0,0,0,0,0,13.11,0,0,0,1.09,1.09,0,0,0,0,0,0,0,19.67,0,0,1.09,27.32,0,3.28,0,0,1.09,3.28,0,0,0,0,4.37,0,1.09,1.09,0
108-118,0,0.77,0,3.06,0,9.96,0,0,0,4.6,0.77,0,0,0,0.77,0,2.3,0,18.38,0.77,1.53,0,36,0,1.53,0.77,0,1.53,2.3,0,0.77,0,0,1.53,0,0.77,0,0
120,0,1.96,0,1.96,1.96,17.64,0,1.96,1.96,9.8,0,0,0,1.96,3.92,0,1.96,1.96,13.72,0,0,0,103.87,0,3.92,1.96,0,0,7.84,0,0,0,0,3.92,0,1.96,1.96,0
