stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,154.2,0,0,0,0,6.29,0,0,0
 14-21,0,0,0,9,251,29,11,0,6,0,4,2,0,0,0,1,4,0,52,1,0,52,127,6,4,7,20,15,224,91,40,219,224,0,7
 24-34,0.82,0,0,8.21,243.79,6.57,6.57,0,36.94,8.21,14.78,6.57,6.57,0,2.46,4.93,0.82,0.82,185.51,2.46,0,94.4,101.79,2.46,2.46,4.1,0,24.63,4.1,49.25,9.85,155.14,128.87,0,61.56
 36-46,0,0,0,0.81,33.84,0,4.83,4.03,12.89,20.95,5.64,1.61,8.06,0,2.42,2.42,0.81,0,164.36,0,0,60.43,41.89,0,0,1.61,0,10.47,0,26.59,2.42,2.42,25.78,0,38.67
 48-58,0,0,0,0,12.05,1.15,4.59,0.57,9.18,18.36,5.74,1.72,3.44,0,0,2.87,0,0,121.07,0,1.15,48.77,35.58,0,0,0,0,4.02,0,14.35,1.15,0,8.61,0,31.56
 60-70,0,0,0,0,2.94,0,7.85,3.93,6.87,11.78,5.89,0,0,0.98,0.98,0,0,0,56.93,0,0.98,8.83,23.56,0,0,0,0,1.96,0,9.82,0.98,0,1.96,0,9.82
 72-82,0,0,0,0,1.96,0,4.91,0,7.85,13.74,1.96,0,0.98,0,0.98,0,0,0,47.12,0,1.96,6.87,6.87,0,0,0,0,0.98,0,12.76,0,0,0.98,0,17.67
 84-94,0,0,1.06,0,0,0,3.19,0,0,10.62,2.12,1.06,0,0,1.06,0,0,0,24.43,0,0,7.43,6.37,0,0,0,0,1.06,0,19.12,0,0,1.06,0,8.5
 96-106,0,0,0,0,0,0,4.37,0,1.09,8.74,2.19,5.46,0,0,0,1.09,0,0,17.49,0,1.09,6.56,4.37,0,0,0,1.09,1.09,0,28.41,0,0,0,0,7.65
108-118,0,0,0,0,2.3,0,1.53,2.3,0,6.89,0,19.15,0,0,0,0,1.53,0,15.32,0.77,0,2.3,6.89,0,0,0,0,1.53,0,30.64,0,0,0.77,0.77,0.77
120,0,0,0,0,5.88,0,5.88,0,0,11.76,0,52.91,0,0,1.96,0,0,0,31.36,0,0,0,9.8,0,0,0,0,0,0,17.64,0,0,0,0,9.8
