stage,blastomeres,endoderm,eye,glial,gut,liver,mesenchyme,muscle,neural,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,10.51,7.89,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0.82,0.82,0,0
 36-46,0,0,0.81,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,1.96,0,0.98,1.96,0,0.98,0.98,0,0,0,0,1.96
 84-94,0,0,0,1.06,5.31,2.12,0,0,1.06,0,0,2.12,0,0,0,1.06,0
 96-106,0,0,1.09,0,14.21,1.09,1.09,0,4.37,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0.77,26.81,3.83,0.77,0,3.83,0,0,0,0,0,0,0,0
120,0,0,0,0,39.2,0,0,0,1.96,0,0,0,0,0,0,0,0
