stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,11,1,0,13,0,0,0,10,0,0,0,0,1,0,0,1,20,0,0,7,198,1,1,3,2,0,5,1,1,0,0,10,83,0,0,0,0,1
 24-34,0,0,1.64,0.82,5.75,0,0,25.45,0,0.82,0.82,9.85,0,0,0,0,0.82,1.64,4.93,3.28,29.55,0,0,14.78,474.45,0,9.85,3.28,0,0,7.39,0,0,1.64,1.64,1.64,145.29,0,0,2.46,0,0
 36-46,0,0,0,0,2.42,0,0,115.21,0,0,2.42,32.23,0.81,1.61,0,0.81,0.81,0,1.61,4.03,41.89,0,0.81,8.06,932.16,0,8.86,2.42,0,0,12.09,0,0.81,0,0,0,218.34,0,0.81,1.61,0,1.61
 48-58,0,0,0,0,6.89,2.3,0,329.94,0,1.15,3.44,83.2,0,0,0,0,0.57,0,0.57,1.15,61.97,0,2.3,10.9,958.25,0,3.44,2.3,0,0,12.62,0,0,0,0,0,214.03,0,0,1.15,0,2.3
 60-70,0,0,0,0,4.91,0.98,0,793.07,0.98,0.98,7.85,86.37,0,0,0.98,0,4.91,0,0,1.96,70.67,0,3.93,9.82,1005.08,0,5.89,0,0,0.98,13.74,0,0,0,0.98,0,137.41,0,0.98,0,0,3.93
 72-82,0,0,0.98,0,10.8,0.98,0,615.5,3.93,0,8.83,102.09,0.98,2.94,0.98,0,7.85,0,1.96,0.98,97.18,0,7.85,7.85,853.06,0,4.91,2.94,0,0,17.67,0,0,0,0,0,64.79,0,3.93,0.98,0,1.96
 84-94,0,0,1.06,0,3.19,1.06,0,398.26,1.06,2.12,5.31,72.22,1.06,1.06,2.12,1.06,8.5,0,0,3.19,71.16,1.06,10.62,8.5,438.62,0,5.31,2.12,0,2.12,45.67,0,0,0,1.06,0,39.3,1.06,6.37,1.06,6.37,4.25
 96-106,0,0,1.09,0,4.37,2.19,0,334.41,4.37,1.09,6.56,51.36,3.28,1.09,0,0,4.37,0,1.09,1.09,52.46,3.28,2.19,10.93,301.63,0,3.28,3.28,0,1.09,43.71,0,0,0,2.19,0,10.93,1.09,1.09,3.28,6.56,0
108-118,0.77,0,2.3,0,8.43,0.77,0.77,193.02,0.77,1.53,1.53,32.94,0.77,0.77,0,0,3.06,0,0,3.83,39.83,0,0.77,6.13,301.79,0,3.06,0,0,0.77,22.21,0,0,0,0.77,0,6.89,0,0,0,3.06,3.83
120,0,0,0,0,7.84,1.96,0,166.58,1.96,1.96,1.96,29.4,3.92,0,1.96,0,0,0,0,1.96,25.48,0,0,9.8,276.33,0,1.96,0,0,0,31.36,0,0,0,0,0,9.8,0,5.88,1.96,0,0
