stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,spinal_cord,vasculature,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,1,0,0,10,0,0,0,0,4,0,0
 24-34,0,0,0.82,0,0.82,0,0.82,0,0.82,0,0,13.13,1.64,0,1.64,0,4.1,0,0
 36-46,0,0,0,0.81,4.03,0,2.42,0,1.61,0,0,10.47,0,1.61,0.81,0,3.22,0.81,0
 48-58,0,0,0,0,3.44,0,2.3,0,0.57,0,0,6.31,0,0,0,0,1.15,0,0.57
 60-70,0,0,0.98,0,2.94,0.98,0.98,0,0.98,0,0,6.87,0.98,0,0,0,1.96,0,0
 72-82,0,0,0,0,3.93,0.98,1.96,0,5.89,0.98,0,6.87,0,0,0,0,0,0,0
 84-94,0,0,0,0,3.19,0,2.12,0,1.06,0,1.06,3.19,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,4.37,0,0,0,1.09,0,0,3.28,0,0,1.09,0,0,0,0
108-118,0,0,0,0,2.3,0,0,0.77,1.53,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,3.92,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0
