stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,60.46,10.51,0,0,10.51,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.73,0,3.15,22.03,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,220.29,18.88,0,0,94.41,0,3.15,9.44,0,3.15,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,4,67,7,5,0,0,0,1,4,2,1,0,1,0,0,0,2,12,0,0,13,32,7,0,1,1,0,14,0,8,3,3,20,25,0,0,3,0,2
 24-34,0,0.82,0,31.19,3.28,12.31,0.82,0.82,1.64,3.28,0.82,0,2.46,0.82,2.46,1.64,0.82,0.82,5.75,23.8,0.82,0,19.7,53.36,4.93,0,0,0,0,31.19,0,0,1.64,0.82,1.64,22.98,0,0,16.42,0,0.82
 36-46,0,0.81,0.81,7.25,1.61,11.28,1.61,2.42,1.61,6.45,0,0,4.03,1.61,1.61,0.81,3.22,0,2.42,37.06,0,0.81,8.06,53.17,1.61,1.61,4.03,0,0,27.39,0,0,2.42,1.61,0.81,17.72,0,0,7.25,0,3.22
 48-58,0,0,0,8.03,1.15,29.84,0,1.72,4.02,21.8,0,1.15,2.3,0.57,1.72,0,1.15,0,4.02,56.81,0.57,0.57,10.9,37.87,2.87,1.72,1.72,0,0,10.33,0,0,0,1.15,0,16.64,0,0.57,8.03,0,7.46
 60-70,0,0,0,12.76,5.89,22.58,0,2.94,1.96,34.35,0,0.98,0.98,2.94,2.94,5.89,3.93,0,0,97.17,1.96,1.96,5.89,18.65,2.94,0.98,1.96,0,0,19.63,0,0,0.98,0.98,0,4.91,0,1.96,2.94,0.98,4.91
 72-82,0,1.96,0,15.71,11.78,22.58,0,1.96,9.82,53.01,8.83,0.98,2.94,3.93,2.94,3.93,4.91,0.98,0.98,115.84,4.91,3.93,9.82,29.45,0,0.98,1.96,0,0.98,21.6,0,0,1.96,0,0,6.87,1.96,4.91,11.78,1.96,1.96
 84-94,0,1.06,0,23.36,7.43,40.36,0,6.37,5.31,23.36,4.25,0,1.06,12.74,7.43,4.25,5.31,0,4.25,75.4,3.19,4.25,2.12,30.8,2.12,1.06,8.5,0,2.12,63.72,0,0,2.12,1.06,0,5.31,4.25,7.43,11.68,2.12,2.12
 96-106,0,2.19,0,28.41,5.46,36.06,2.19,4.37,3.28,28.41,5.46,0,2.19,20.76,5.46,4.37,3.28,5.46,2.19,75.41,3.28,8.74,5.46,21.86,2.19,7.65,12.02,0,0,72.13,0,0,3.28,2.19,0,3.28,0,2.19,16.39,7.65,7.65
108-118,0,0.77,0,34.47,1.53,19.15,1.53,13.02,1.53,27.57,9.96,0,4.6,15.32,4.6,10.72,3.83,3.06,3.06,54.38,1.53,2.3,3.83,29.11,3.06,3.06,8.43,0,1.53,42.89,0,0,3.06,0.77,0,0.77,2.3,2.3,8.43,0.77,6.13
120,0,0,0,29.4,11.76,9.8,1.96,3.92,0,25.48,11.76,0,1.96,15.68,3.92,0,11.76,1.96,0,45.08,1.96,3.92,1.96,15.68,5.88,7.84,0,0,1.96,37.24,0,0,5.88,0,0,0,3.92,0,9.8,1.96,1.96
