stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,15.73,0,0,0,0,0,0
 14-21,0,11,3,0,0,1,0,0,0,0,0,7,0,4,25,0,0,0,0,0,11,2,0
 24-34,0,4.93,1.64,0.82,0.82,0,0,0,0,0,0,2.46,0,1.64,20.52,0.82,0,3.28,0,0,3.28,0.82,0
 36-46,0,4.03,0.81,0,0,0,0,0.81,0,0,0,8.86,0.81,3.22,19.34,0.81,0,1.61,0.81,0,4.83,0,0
 48-58,0,0.57,0,0,0.57,0,0.57,0,0,0,0,5.16,0,0,16.64,0,0,1.15,0,0,0,0,0
 60-70,0,0,1.96,1.96,1.96,0,0,0,0,0,0,10.8,0.98,0,18.65,0,0,0,0,0,2.94,0,0
 72-82,0,0,3.93,0,1.96,0,0,0,0,0.98,0,2.94,0,0.98,14.72,0.98,0,0.98,0,0,0,0,0
 84-94,0,1.06,3.19,0,0,0,0,0,0,0,0,2.12,0,1.06,6.37,0,0,2.12,0,0,0,0,0
 96-106,0,2.19,1.09,0,0,0,0,0,0,0,0,3.28,0,1.09,14.21,1.09,0,2.19,0,1.09,1.09,0,0
108-118,0,1.53,1.53,0,0,0,0.77,0.77,0.77,0,0.77,1.53,0,0,6.13,1.53,0,2.3,0,0,0,0.77,1.53
120,0,3.92,3.92,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0
