stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,1.64,0,0,0,0,0.82,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0.81,0.81,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,12.62,0,2.87,0,0,0,6.31,0,0,2.3,0,0,0,0,4.59,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,0,3.93,2.94,0,1.96,0,0,1.96,0,0,0,0,0.98,0,53,0,1.96,0.98,0.98,0,11.78,0,0,0,0,0,0,0,12.76,0,0,0,0,0,0,0
 72-82,0,0,0,2.94,4.91,62.83,40.25,0,0,0,4.91,1.96,0,0,2.94,0,0,1.96,174.74,0,35.34,1.96,0.98,3.93,102.09,0.98,0.98,0,0,0,5.89,0,59.88,0,2.94,0,0,4.91,2.94,0.98
 84-94,0,0,0,6.37,9.56,137,35.05,0,0,0,7.43,3.19,0,0,2.12,1.06,0,0,526.77,0,20.18,1.06,2.12,2.12,101.96,0,1.06,3.19,0,0,13.81,0,139.13,0,2.12,1.06,0,4.25,2.12,1.06
 96-106,0,0,1.09,54.64,43.71,287.42,179.23,4.37,10.93,7.65,56.83,20.76,0,4.37,20.76,9.84,2.19,9.84,832.75,0,157.37,9.84,9.84,18.58,395.61,4.37,8.74,10.93,0,5.46,90.71,1.09,153,3.28,12.02,4.37,3.28,14.21,6.56,5.46
108-118,0,0,0.77,42.89,21.45,532.34,131.75,0.77,7.66,6.89,55.15,6.13,0,3.06,9.19,1.53,4.6,4.6,1568.69,2.3,128.68,3.83,3.06,12.26,376.85,5.36,6.89,8.43,0,3.06,43.66,0,153.96,3.06,9.96,2.3,4.6,12.26,4.6,8.43
120,0,0,1.96,39.2,7.84,225.38,82.31,0,5.88,3.92,21.56,5.88,0,0,5.88,7.84,0,1.96,864.27,0,70.55,1.96,3.92,13.72,258.69,0,3.92,1.96,0,1.96,31.36,0,103.87,1.96,11.76,1.96,0,11.76,7.84,1.96
