stage,blastomeres,epidermis,eye,glial,hatching.gland,immune,iridophores,lateral.line,mesenchyme,neural,otic,periderm,spinal.cord,taste
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,3,0
 24-34,0,0,0,0.82,0,0,0,0,0.82,25.45,0,0,17.24,0
 36-46,0,0,0,4.83,0,0,0,0,0,17.72,0,0,16.92,0
 48-58,0,0,0.57,1.15,0,0,0,0,0,21.23,0,0.57,9.18,0
 60-70,0,0,0.98,0,0,0,0,0,0.98,25.52,0,0,0.98,0
 72-82,0,0,3.93,0.98,0.98,0,0,0,1.96,29.45,0.98,0,0.98,0
 84-94,0,1.06,1.06,1.06,0,0,0,1.06,2.12,12.74,0,0,0,0
 96-106,0,0,3.28,1.09,0,0,1.09,1.09,2.19,8.74,1.09,0,0,1.09
108-118,0,1.53,1.53,1.53,0,0.77,0,0,0.77,9.96,2.3,0.77,0,2.3
120,0,1.96,1.96,1.96,0,0,0,0,0,15.68,3.92,0,0,0
