stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,10.51,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,3,1,0,0,1,0,0,2,0,14,0,0,1,1,1,2,1,7
 24-34,0,0,0.82,1.64,0,0.82,0,0,0,0.82,0.82,0,8.21,0.82,0,0.82,0,0.82,0,0,4.1
 36-46,0,0,0,0,0,1.61,0,0,0,0,0.81,0,15.31,0.81,1.61,0,0,0,0,0,2.42
 48-58,0,0,0,0,0,2.3,0,1.15,0,0,0.57,0.57,10.33,0,0.57,0,0,0,0,0,0.57
 60-70,0,0,0,1.96,0,2.94,0.98,0.98,0,0,0.98,0,9.82,0,0,0,0,0.98,0,0,1.96
 72-82,0,0,0,0,0,2.94,0,1.96,0,0,0,0,6.87,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,1.06,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,4.37,0,0,0,1.09,0,0,4.37,0,0,0,0,0,0,0,0
108-118,0.77,0,0,0.77,0,1.53,0,0.77,0.77,0,0,0,3.06,0,0,0.77,0,2.3,0,0,0.77
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96
