stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,14,0,0,0,0
 24-34,0,3.28,0.82,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,134.62,0,0,0.82,0,2.46,46.79,0,0,0,0
 36-46,0,0.81,0.81,0,0,8.06,0,0,0,5.64,0,0,0,0,0,0,0,1.61,0,2.42,0,379.47,0,0,0.81,0,0.81,78.15,0,0.81,0,0
 48-58,0,1.15,2.87,0,0,25.25,0,0,0,39.59,0,0,0.57,0,0.57,0,0,7.46,0,4.02,1.72,515.28,0,0.57,0,0.57,0.57,75.74,0,0,0,0.57
 60-70,0,0.98,1.96,0,0,53,0,0.98,0,22.58,0,0,0.98,0,0.98,0,0,6.87,0,2.94,0,853.92,0,0.98,0.98,0,0.98,106,0,0,0,0
 72-82,0,0,3.93,0.98,0,66.75,0,0,0.98,21.6,0.98,0.98,0.98,0,0,0,0.98,16.69,0.98,2.94,0.98,696,0,3.93,0,0.98,0.98,54.97,4.91,0.98,0.98,0.98
 84-94,0,4.25,5.31,0,0,82.84,0,0,0,13.81,1.06,0,0,2.12,1.06,1.06,1.06,11.68,0,7.43,2.12,353.66,0,3.19,0,0,6.37,16.99,5.31,1.06,2.12,0
 96-106,0,2.19,6.56,1.09,0,65.57,0,0,1.09,8.74,1.09,0,0,0,0,0,0,6.56,0,5.46,1.09,324.58,1.09,1.09,1.09,3.28,4.37,12.02,1.09,1.09,5.46,1.09
108-118,0,0.77,2.3,1.53,0.77,39.83,0.77,0.77,0,7.66,0.77,0,1.53,0,0,0,0,6.89,0.77,2.3,0,331.66,0,3.06,0,0,2.3,13.02,0.77,0,1.53,0.77
120,0,0,13.72,0,0,68.59,0,0,0,7.84,0,0,3.92,0,0,1.96,0,5.88,0,3.92,0,409.6,0,3.92,0,0,1.96,15.68,1.96,0,3.92,0
