stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,184.49,2174.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0
  5-6,49.04,723.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,0,18.39,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,2.63,0,0,0,0,7.89,0,0,0,0,0,0,0,0,34.17,0,0,23.66,0,7.89,15.77,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,3.15,0,6.29,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,1,6,0,0,0,0,41,1,1,0,3,3,0,0,0
 24-34,0,0,1.64,0,1.64,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,2.46,0,2.46,0,0,55.82,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,8.86,0,0,0,0,29.81,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0.57,1.15,0,0.57,0,0,0,0,0,0,0,1.15,0,0,0,8.03,0,0,0,0,22.38,0,0,0,0,2.3,0,0,0.57
 60-70,0,0,0,0,0.98,4.91,0,0,0,0.98,0,0,0.98,0,0,1.96,0,0,0,4.91,0,0.98,0,0,27.48,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,4.91,3.93,0.98,0,0,3.93,0,0,0.98,0.98,0,1.96,0.98,0.98,0.98,8.83,0,0.98,0,0,20.61,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,3.19,1.06,1.06,0,1.06,4.25,0,0,2.12,0,0,0,0,0,0,5.31,0,0,0,0,77.53,0,0,0,0,0,1.06,0,0
 96-106,0,0,1.09,0,17.49,6.56,1.09,0,0,4.37,0,0,4.37,0,0,2.19,3.28,0,0,8.74,0,3.28,0,0,67.76,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,9.96,0.77,3.83,0,0.77,7.66,0,0,0.77,0,0.77,0,0.77,0,0,5.36,0,0,0,0,47.49,0,0,0,0,0,0.77,0,0
120,0,0,0,0,13.72,0,0,0,0,7.84,1.96,1.96,1.96,0,0,1.96,0,0,0,7.84,0,3.92,0,1.96,37.24,0,0,0,0,0,1.96,0,0
