stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,39.53,698.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,36.78,220.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,3,0,0,36,2,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,2.46,0,0,0.82,0,0,0,0.82,0,0,5.75,0,8.21,12.31,0,0.82,0,0,0,0,0,0.82,0,10.67,3.28,0,0,0,0
 36-46,0,0,0,0,0,0,0,5.64,0.81,0,4.03,5.64,0,0,0,0,0,27.39,0,12.89,13.7,0,0,0.81,0,0,0.81,0,0,0,0.81,1.61,0,0,0,0
 48-58,0,0,0,0,0,0,0,14.92,1.15,1.15,6.31,12.62,0,0,0,0,0,46.48,0,15.49,14.92,0,0,1.15,0,0.57,0.57,0,0,0,0,1.72,0,0,0,0
 60-70,0,0,0,0,0,0,0,21.59,5.89,0,2.94,60.85,0,0.98,1.96,1.96,0,93.24,0,10.8,14.72,0,0.98,0.98,0,0,0,0,0,0,0,3.93,1.96,1.96,0,0
 72-82,0,0,0,0,2.94,0,0,36.32,1.96,0,11.78,129.58,0,0.98,1.96,0,0.98,152.16,0,18.65,21.6,0.98,0.98,0.98,0,0,0,0,0,0,0,0,1.96,0,0,0
 84-94,0,0,0,0,2.12,0,1.06,46.73,2.12,1.06,5.31,75.4,0,0,1.06,0,1.06,135.94,0,14.87,16.99,0,3.19,4.25,0,0,0,0,0,0,0,2.12,5.31,0,1.06,0
 96-106,0,0,1.09,0,6.56,2.19,1.09,41.53,7.65,0,7.65,122.4,2.19,2.19,7.65,1.09,4.37,131.14,1.09,18.58,31.69,1.09,6.56,4.37,0,1.09,1.09,0,0,0,0,2.19,20.76,2.19,2.19,1.09
108-118,0,0,0,0,3.06,0,8.43,56.68,4.6,0,16.85,104.94,0.77,0,4.6,4.6,0.77,151.66,1.53,17.62,28.34,0.77,8.43,2.3,0,0,0.77,0,0,0,0,0.77,12.26,0.77,0.77,0
120,0,0,0,0,1.96,0,0,23.52,7.84,0,9.8,90.15,0,5.88,1.96,0,1.96,97.99,1.96,13.72,21.56,0,1.96,0,0,0,1.96,0,0,1.96,0,1.96,3.92,0,0,0
