stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,2,0,0
 24-34,0,0,0,0,0,0,5.75,3.28,1.64,0,0,0.82,0,0.82
 36-46,0,0,0.81,0,0,0,4.83,2.42,2.42,0,0,0,0,1.61
 48-58,0,0,0,0.57,0,0.57,2.87,0,3.44,0,0,0,0,0.57
 60-70,0,0,1.96,0,0,0.98,4.91,1.96,4.91,0,0,0,0,0
 72-82,0,0.98,0.98,0,0.98,0,2.94,0.98,2.94,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,6.37,1.06,0,0,0,0,0,0
 96-106,0,1.09,1.09,0,0,0,4.37,1.09,2.19,0,0,0,0,0
108-118,0,1.53,0,0.77,0,0,2.3,0,2.3,0,0,0,0,0
120,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0
