stage,epidermis,eye,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,14,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,1.64,0,0,0,0,0,0,0,1.64
 36-46,0.81,0,0,0,0,0,0,0,0,0.81,3.22,0,0,0,0,0.81,0,0,2.42
 48-58,0,1.72,0,0,0,0,0,0,0,0,4.59,0,0,0,0,0,0,0,1.15
 60-70,0,7.85,0,0,0,0.98,0.98,0,0,0,9.82,0,0,0.98,0,0,0,0,0
 72-82,0,36.32,0,1.96,0,0,0,0.98,2.94,0,15.71,0.98,0,1.96,0,0,0,0,1.96
 84-94,0,19.12,0,2.12,0,1.06,1.06,0,2.12,0,9.56,4.25,0,0,1.06,0,0,0,1.06
 96-106,2.19,25.14,0,0,0,0,0,1.09,3.28,0,18.58,3.28,0,2.19,0,0,0,0,0
108-118,0.77,15.32,0,0.77,0.77,0,0,3.06,0.77,1.53,19.15,3.06,0,2.3,0.77,0,0,0,0.77
120,0,13.72,1.96,0,0,0,0,0,0,0,23.52,3.92,0,0,0,0,0,0,0
