stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,85.81,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,9.44,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,0,0,0,15.73,0,0,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,2,11,0,0,3,0,0,1,1,0,0,0,0,0,0,0,4,0,0,3,43,0,1,0,1,0,3,1,8,7,13,0,0,3,0
 24-34,0,0,0,4.93,0,0,8.21,2.46,0.82,0.82,0.82,0,0,0,0,0,0,0,4.93,0,0,2.46,58.28,0.82,1.64,1.64,0,0,4.93,0,2.46,0,16.42,0,0,0,1.64
 36-46,0,0,0,1.61,0,0,16.11,0,0.81,3.22,0,0,0,0.81,0,0,0,0,3.22,0,0.81,2.42,41.89,0,0,0,0,0,4.03,0,2.42,0,9.67,0,0,0,0.81
 48-58,0,0,0,2.3,0,0,18.36,0,0,5.74,0,0,0,0.57,0,0,0.57,0.57,10.33,0.57,0.57,1.72,25.82,0.57,0.57,1.15,0,0,2.87,0,0,0,7.46,0,0,0.57,1.15
 60-70,0,0.98,0,1.96,0,0,21.59,0,0.98,9.82,0,0,0.98,0,0,0.98,0,0,5.89,0.98,0,0.98,26.5,0,2.94,1.96,0,0.98,2.94,0,0,0,2.94,0,0.98,1.96,1.96
 72-82,0,0,0,0.98,1.96,0,21.6,0,0,5.89,0,0,0,0.98,0,0,0,0,8.83,0,2.94,1.96,25.52,0,3.93,0,0,0,1.96,0,1.96,0,2.94,0,0,1.96,0
 84-94,0,0,0,4.25,0,0,10.62,0,0,4.25,1.06,0,0,0,2.12,0,1.06,0,7.43,0,2.12,0,20.18,0,1.06,1.06,0,0,9.56,0,3.19,0,0,0,0,2.12,0
 96-106,0,1.09,0,3.28,0,0,7.65,0,0,5.46,2.19,0,2.19,2.19,0,0,1.09,0,9.84,0,0,2.19,17.49,0,3.28,0,0,0,6.56,0,0,0,1.09,0,0,1.09,0
108-118,0,0.77,0,3.83,0,0.77,5.36,0,0.77,1.53,5.36,0,1.53,0,1.53,0.77,2.3,0,6.13,0.77,0,0.77,13.79,0,3.06,0.77,0,0,3.83,0,0,0,0,0,0,1.53,0
120,0,0,0,5.88,0,0,5.88,0,0,7.84,1.96,0,1.96,1.96,1.96,0,1.96,0,9.8,0,1.96,1.96,9.8,1.96,3.92,0,0,1.96,3.92,0,0,0,3.92,1.96,0,3.92,0
