stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,3.15,0,0,0,0,0,0
 14-21,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,6,0,0,0,0,1,8,0,0,0
 24-34,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,5.75,0,0,19.7,1.64,0,0,0,1.64,11.49,0,0,0
 36-46,0,0.81,0,1.61,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0,45.12,0,0.81,0,0,0,15.31,0,1.61,0
 48-58,0,1.15,0,8.61,0,0,2.3,0,0,0,0,0,0,0,5.16,0,0.57,53.94,1.15,0.57,0,0,1.15,15.49,0,0.57,1.15
 60-70,0,2.94,0,10.8,0,0,3.93,0,0,0,0,0,0,0,5.89,0,0,60.85,0,0,0,0,3.93,11.78,0.98,0,0
 72-82,0,0,0,14.72,0,0,3.93,0.98,1.96,0,0,0,0,0.98,17.67,0,2.94,43.19,0.98,0.98,0,0,0,1.96,0,0.98,0
 84-94,0,0,0,6.37,1.06,0,3.19,0,0,2.12,0,0,0,0,9.56,0,2.12,10.62,0,0,0,0,2.12,0,1.06,0,0
 96-106,0,1.09,0,3.28,1.09,1.09,1.09,1.09,1.09,0,2.19,1.09,1.09,0,6.56,0,3.28,17.49,0,0,0,1.09,1.09,1.09,1.09,0,0
108-118,0,1.53,0,2.3,0,0.77,2.3,1.53,0,1.53,1.53,0,0,0.77,5.36,0.77,0,16.09,0,0,0,0.77,2.3,0,0.77,1.53,0
120,0,0,0,3.92,0,0,3.92,1.96,0,0,0,0,0,0,3.92,0,0,9.8,0,1.96,0,0,0,5.88,0,1.96,0
