stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,3,0,0,0,3,0,0,0,0,0,0,2,0,1,5,0,0,0,0,0,0,12,28,0,0,0,0,0
 24-34,0,0,0.82,4.1,0,0,0.82,12.31,0,0,0,0,0,0,4.1,0,1.64,9.03,0.82,0,0,0,0,0,0,48.43,0,0,0,0,0
 36-46,0,0,0.81,0.81,3.22,0,2.42,31.42,0,0,0,0,1.61,0,0.81,0,3.22,21.75,0,0,0,0,0,0,0,50.76,0,0,1.61,0,0
 48-58,0,0,0.57,4.02,6.89,0,5.16,87.22,0,0.57,0,0,3.44,0,6.31,0,4.59,24.67,1.72,0,0,0,0,0,0,89.51,0,0,0.57,0,0.57
 60-70,0,0,0,12.76,1.96,0,1.96,151.15,0,0,0,0,6.87,0,8.83,0,1.96,15.7,0,0,0,0,0,0,0,47.11,0,0,0.98,0,0
 72-82,0,0,0,16.69,2.94,0,3.93,278.79,0.98,0,0,0,3.93,0,11.78,0,0,13.74,0,0,0,0,0.98,0,0,59.88,0,0.98,1.96,0,0
 84-94,0,1.06,1.06,13.81,2.12,0,2.12,175.24,1.06,0,0,0,15.93,1.06,3.19,1.06,3.19,12.74,1.06,0,1.06,0,1.06,1.06,0,60.54,1.06,0,1.06,1.06,0
 96-106,0,0,3.28,12.02,4.37,1.09,0,184.69,0,0,0,1.09,9.84,0,6.56,0,2.19,12.02,0,2.19,1.09,0,0,0,0,88.52,0,0,1.09,0,1.09
108-118,0,0,2.3,6.89,2.3,0,0.77,149.36,0,0,0,0,11.49,0,9.19,0,1.53,13.02,0.77,0,1.53,0,0.77,0,0,42.13,0,0,2.3,2.3,0
120,0,0,5.88,11.76,1.96,1.96,0,188.14,0,0,1.96,0,7.84,0,13.72,0,0,9.8,0,0,1.96,0,0,0,0,45.08,0,0,0,0,0
