stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
 14-21,0,0,7,1,0,4,0,0,1,0,0,0,10,1,0,0,0,1,2,0,0,3,25,0,0,1,1,2,2,0,1,10,0,0
 24-34,0,1.64,1.64,0,0,3.28,2.46,0,0.82,0.82,0,0.82,47.61,0,0,0,0.82,0,6.57,0,0,6.57,51.71,0.82,0,0.82,0,3.28,0,0,0,11.49,0,4.1
 36-46,0,0,2.42,0,0,13.7,0,0,0.81,0,0.81,2.42,91.85,0,0,0,0,0,6.45,0,0,0.81,29.81,1.61,0,0,0,3.22,0,0.81,0,7.25,0,4.83
 48-58,0,0,0.57,1.15,0,8.03,0,1.72,2.3,0.57,0,3.44,118.78,0,0.57,1.15,0,0,6.31,0,0.57,1.72,22.38,0,0.57,0.57,0,0.57,0,0,0,10.33,0,16.07
 60-70,0,0,1.96,3.93,0,15.7,0,3.93,4.91,0,0,1.96,130.54,2.94,0,0,0,0,8.83,0,0.98,0.98,22.58,0,0,0,0,1.96,0,0,0,2.94,0,11.78
 72-82,0,0,2.94,5.89,0,10.8,0,2.94,4.91,0.98,0,3.93,243.45,0,0,1.96,0,0,18.65,0,0.98,0,24.54,0,0.98,0.98,0,0,0,0,0,0.98,0,23.56
 84-94,0,0,2.12,10.62,1.06,9.56,2.12,1.06,1.06,0,0,1.06,297.37,0,1.06,0,0,0,9.56,1.06,1.06,1.06,14.87,0,0,1.06,0,2.12,0,0,0,0,0,18.05
 96-106,1.09,0,4.37,12.02,0,4.37,1.09,1.09,4.37,0,0,6.56,437.14,1.09,0,2.19,0,0,22.95,1.09,1.09,2.19,20.76,0,0,2.19,0,5.46,0,0,0,1.09,0,36.06
108-118,0,0.77,2.3,16.09,0,7.66,1.53,0,3.83,2.3,0,1.53,330.9,0.77,0.77,0,0,0.77,7.66,0,0,0,18.38,0.77,0,0.77,0,3.83,0,0,0,0,0.77,29.11
120,0,0,5.88,23.52,0,7.84,1.96,0,3.92,3.92,0,0,331.2,0,0,0,0,0,3.92,0,0,1.96,15.68,0,0,1.96,0,1.96,0,0,0,0,1.96,17.64
