stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,14,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,128,0,9,0,0,0,1,0,0,0,121,0,0,0,0,0
 24-34,14.78,0,6.57,0,0,13.13,0,0,0,0,0,0,0,0.82,0.82,0,0,0.82,6.57,0.82,0,6.57,946.45,0.82,54.18,4.1,0,0.82,0.82,1.64,0,0.82,329.98,0,0,1.64,0,0
 36-46,11.28,0,3.22,0,0,39.48,0,0.81,1.61,5.64,0,0,0,0,0,2.42,0.81,0,8.86,0,0,1.61,2158.39,0,48.34,6.45,0,0.81,0,0,0,0,427.81,0,0,3.22,0,0
 48-58,10.33,0,6.31,0,0,197.39,0,0.57,0,14.92,0,0,0,0,0,0,0,0,12.62,0,0,3.44,2555.15,1.15,37.87,3.44,0,1.15,0,0,0,0,445.85,0,0,2.87,0,0.57
 60-70,7.85,0,7.85,0,0,676.27,0,1.96,2.94,10.8,1.96,0,0.98,0,0,0.98,0,0,15.7,0.98,1.96,1.96,2598.09,0.98,28.46,1.96,0,0.98,0,0,0.98,0,387.7,0.98,0,2.94,0,1.96
 72-82,30.43,0,12.76,3.93,0,1042.52,0,0.98,2.94,44.17,5.89,0,0.98,0,1.96,1.96,2.94,0.98,36.32,0,0,1.96,2045.78,0,62.83,13.74,1.96,0.98,0,0.98,0,0,158.05,5.89,0.98,3.93,0,1.96
 84-94,25.49,0,16.99,3.19,0,576.69,0,0,0,33.99,9.56,0,1.06,2.12,1.06,1.06,1.06,0,28.68,0,1.06,1.06,939.9,0,55.23,16.99,0,5.31,0,1.06,0,0,100.89,9.56,1.06,3.19,2.12,0
 96-106,32.79,0,12.02,3.28,1.09,484.13,0,1.09,3.28,27.32,6.56,1.09,1.09,1.09,1.09,5.46,1.09,0,33.88,1.09,2.19,3.28,797.78,0,112.56,20.76,0,1.09,0,1.09,0,0,52.46,21.86,2.19,3.28,5.46,0
108-118,21.45,0,11.49,0.77,0,309.45,0.77,1.53,0.77,17.62,1.53,0,1.53,0,0.77,3.83,0.77,0,12.26,0.77,0,0,861.71,0,65.87,14.55,0,2.3,0,1.53,0,0,26.04,39.06,0,0.77,0,0.77
120,13.72,0,19.6,3.92,0,203.82,0,1.96,3.92,9.8,1.96,0,1.96,1.96,1.96,0,0,0,9.8,0,0,5.88,713.36,1.96,43.12,13.72,0,3.92,0,1.96,0,0,23.52,7.84,0,5.88,0,0
