stage,blastomeres,epidermis,eye,fast_muscle,glial,immune,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,spinal_cord,taste,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2,0,0
 24-34,0,0,0,0,0,0,0,0,8.21,0,0,3.28,0,0
 36-46,0,0,0,0,0,0,0,0,25.78,0,0,4.03,0,0
 48-58,0,0,1.72,0,0.57,0,0,0,44.18,0,0,8.03,0,0
 60-70,0,0,4.91,0,6.87,0,0,0,106.99,0,0,17.67,0,0
 72-82,0,0,8.83,0,12.76,0,0.98,0,127.62,0.98,0,5.89,0.98,0
 84-94,0,1.06,9.56,0,9.56,0,2.12,0,67.97,1.06,0,5.31,0,0
 96-106,0,1.09,8.74,0,5.46,1.09,0,1.09,64.48,2.19,0,3.28,0,2.19
108-118,0,0,5.36,0.77,4.6,0,0,0,65.11,0,0,2.3,0,0.77
120,0,3.92,11.76,0,5.88,1.96,0,0,60.75,0,0,0,0,3.92
