stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,37,0,0,0,0,0,1,0,0,0,0
 24-34,9.85,0.82,0,0,0,0,0,0.82,0,0,0,2.46,0,13.13,0,4.93,16.42,0,0.82,55.82,0,0,0,0,0,0,0,0,0.82,0
 36-46,4.03,0.81,0.81,0,0,0,0,0,0,0,0,1.61,0,12.09,0,12.09,6.45,0,0,41.09,0,0.81,0.81,0,0,0,0,0,0,0
 48-58,2.3,0,0.57,1.15,0,0,1.15,0,0,0,0,1.72,0,14.35,0,10.9,4.02,0,0.57,33.85,0,0.57,0,0,0,0.57,0,0,0,0.57
 60-70,2.94,0,0,0.98,0,0,0.98,0,0,0,0,0.98,0,12.76,0,2.94,4.91,0,0,33.37,0,0,0,0,0,3.93,0,0,0,0
 72-82,0,0,0.98,0,0,0,3.93,0,0,0,0,1.96,0,20.61,0,0.98,13.74,0,0.98,61.84,0,0.98,0,0,0,0.98,0,0,0.98,0
 84-94,3.19,0,2.12,1.06,0,1.06,3.19,0,0,1.06,1.06,3.19,0,12.74,0,3.19,0,0,0,75.4,0,0,0,0,0,1.06,0,0,0,0
 96-106,7.65,2.19,3.28,0,1.09,0,2.19,1.09,0,2.19,0,4.37,0,12.02,0,1.09,9.84,1.09,2.19,79.78,0,3.28,0,1.09,1.09,1.09,0,1.09,1.09,1.09
108-118,3.06,1.53,3.06,0,1.53,0,2.3,0,0,1.53,0,1.53,0.77,9.96,0,0.77,3.83,1.53,0,78.89,0,1.53,0,0.77,0,0,0.77,0,1.53,0
120,7.84,1.96,1.96,0,0,0,3.92,0,0,0,0,0,0,3.92,1.96,1.96,9.8,0,1.96,62.71,0,1.96,0,0,0,0,0,0,0,0
