stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,4,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,1,34,0,0,0,0,1,1,1,0,1,42,0,0,0,0,0
 24-34,1.64,0,9.03,0,0,7.39,0,0,0.82,14.78,0,0,0,0,0.82,0.82,0,0,4.93,0.82,0,5.75,363.64,0.82,3.28,1.64,0,17.24,0,0,0,0,138.72,0,0,0.82,0,0
 36-46,2.42,0.81,2.42,0,0,14.5,0,0.81,0.81,74.93,0,0.81,0,0,0,0,0,1.61,10.47,0,0,2.42,713.02,2.42,3.22,0,0.81,29.81,0,0.81,0,0,222.36,0,0,0,0,0.81
 48-58,2.87,0,4.59,0,0,60.25,0,1.15,1.15,240.42,0.57,1.15,0,0,0,0,0,0,19.51,0,1.15,3.44,843.49,0,2.3,0,0,18.94,0,0,0.57,0,266.25,0,0,1.15,0,2.3
 60-70,0,0,4.91,0,0,118.76,0.98,0,0,303.29,0,0,0,0.98,2.94,0,0,0,34.35,0.98,1.96,1.96,1382.96,1.96,3.93,0.98,0,13.74,0,0,0,0,209.06,0,0,0.98,0,0.98
 72-82,5.89,0,10.8,5.89,0,206.15,0,0,1.96,381.87,0.98,0.98,1.96,0,0.98,0.98,0,0,63.81,0.98,1.96,3.93,1642.32,0,0.98,0,0.98,1.96,0,4.91,0,0,112.89,0,1.96,2.94,0,0.98
 84-94,8.5,0,18.05,4.25,0,168.86,1.06,2.12,4.25,215.59,1.06,1.06,0,2.12,1.06,0,1.06,2.12,36.11,1.06,4.25,3.19,824.14,1.06,4.25,3.19,0,14.87,0,7.43,0,0,78.59,1.06,1.06,1.06,2.12,0
 96-106,3.28,0,17.49,5.46,1.09,145.35,1.09,0,4.37,212.01,2.19,0,1.09,0,0,1.09,0,0,40.44,1.09,2.19,2.19,749.69,1.09,4.37,3.28,0,10.93,0,6.56,0,0,48.09,0,0,2.19,2.19,1.09
108-118,3.83,0,11.49,3.06,0,107.23,0,0,0.77,219.83,3.06,0,1.53,0.77,1.53,0.77,0,0,24.51,0,0.77,0.77,828.01,0,1.53,0.77,0.77,3.06,0,8.43,0,0,27.57,1.53,0.77,0.77,1.53,0.77
120,1.96,0,13.72,0,1.96,152.86,1.96,0,3.92,260.65,1.96,0,1.96,0,1.96,0,1.96,0,23.52,0,1.96,0,1152.35,0,3.92,3.92,0,3.92,0,5.88,0,0,45.08,0,0,1.96,0,0
